Campaign Name,Campaign ID,Ad Group,Ad ID,Ad Type,Ad Status,Final URL,Headline 1,Headline 2,Headline 3,Description 1,Description 2,All-Time Impressions,All-Time Clicks,All-Time Cost,All-Time Conversions,All-Time Revenue,All-Time ROAS,URL Issues
Search | Brand | ROAS,187765054,Brand,578233647510,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/,Nature's Seed Quality Seed,Nature's Seed - Americas Best,Top Region Specific Seed Mixes,Largest Variety of Expert Crafted Seed Mixes. Order Online & Get Free Shipping.,Our Range-Land Experts Have Specially Designed Mixes For Each Region Of The US.,90541,32762,63013.64,3887.12,549212.59,8.72,
Search | Animal Seed (Broad) | ROAS,22999216985,Cattle,773132599561,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/products/pasture-seed/cattle-pasture-seed/,{KeyWord:Cattle Pasture Seed},Nature's Seed™ - Americas Best,Region Specific Pasture Seed,Largest Variety of Expert Crafted Seed Mixes. Order Online & Get Free Shipping.,Our Range-Land Experts Have Designed Pasture Seed Mixes For Each Region Of The US.,8514,560,1044.32,12.74,2273.02,2.18,
Search | Animal Seed (Broad) | ROAS,22999216985,Horse,773132599351,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/pasture-seed/horse-pastures/,Horse Pasture Seed,Nature's Seed™ - Americas Best,Region Specific Pasture Seed,Largest Variety of Expert Crafted Seed Mixes. Order Online & Get Free Shipping.,Our Range-Land Experts Have Designed Pasture Seed Mixes For Each Region Of The US.,4016,293,970.72,5.42,701.2,0.72,Old URL path (no /products/): /pasture-seed/horse-pastures/
Search | Animal Seed (Broad) | ROAS,22999216985,Horse,773132599357,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/products/pasture-seed/horse-pastures-seed/,{KeyWord:Horse Pasture Seed},Nature's Seed™ - Americas Best,Region Specific Pasture Seed,Largest Variety of Expert Crafted Seed Mixes. Order Online & Get Free Shipping.,Our Range-Land Experts Have Designed Pasture Seed Mixes For Each Region Of The US.,4493,373,885.03,12.75,1895.18,2.14,
Search | Pasture | Exact,22866516659,Sheep,771352317054,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/product/sheep-pasture-forage-mix-transitional,Sheep Pasture Seed,Sheep Pasture Mix,Sheep-Safe Pasture Mix,"Build a safe, durable pasture for sheep with region-tuned mixes.",Overseed thin areas—fast germination and strong grazing recovery.,3551,554,823.25,26.43,2363.06,2.87,Old URL path (no /products/): /product/sheep-pasture-forage-mix-transitional
Search | Animal Seed (Broad) | ROAS,22999216985,Poultry,773132599417,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/products/pasture-seed/poultry-forage-mix/,Poultry Pasture Seed,Nature's Seed™ - Americas Best,Region Specific Pasture Seed,Largest Variety of Expert Crafted Seed Mixes. Order Online & Get Free Shipping.,Our Range-Land Experts Have Designed Pasture Seed Mixes For Each Region Of The US.,6667,390,758.78,29.98,1428.1,1.88,
Search | Animal Seed (Broad) | ROAS,22999216985,White Dutch Clover,773132599381,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/products/clover-seed/white-dutch-clover/,White Dutch Clover Seed,{KeyWord:White Dutch Clover},Nature's Seed™ - Americas Best,Clover tolerates a variety of soil conditions including poor-draining and low quality soil,"Plant White Dutch Clover for lawns, pasture & pollinators. Pick your size and ship fast.",7012,296,685.13,18.5,2870.19,4.19,
Search | Animal Seed (Broad) | ROAS,22999216985,Wildflower Seed,773132599402,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/products/wildflower-seed/,{KeyWord:Wildflower Seed},Nature's Seed™ - Americas Best,Regional Wildflower Seed,Largest Variety of Expert Crafted Seed Mixes. Order Online & Get Free Shipping.,Our Range-Land Experts Have Designed Wildflower Seed Mixes For Each Region Of The US.,7106,301,684.4,9,608.62,0.89,
Search | Animal Seed (Broad) | ROAS,22999216985,Sheep,773132599198,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/pasture-seed/sheep-pastures/,Sheep Pasture Seed,Nature's Seed™ - Americas Best,Region Specific Pasture Seed,Largest Variety of Expert Crafted Seed Mixes. Order Online & Get Free Shipping.,Our Range-Land Experts Have Designed Pasture Seed Mixes For Each Region Of The US.,6207,339,683.26,14.42,658.72,0.96,Old URL path (no /products/): /pasture-seed/sheep-pastures/
Search | Animal Seed (Broad) | ROAS,22999216985,Poultry,773132599414,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/products/pasture-seed/poultry-forage-mix/,{KeyWord:Poultry Pasture Seed},Nature's Seed™ - Americas Best,Region Specific Pasture Seed,Largest Variety of Expert Crafted Seed Mixes. Order Online & Get Free Shipping.,Our Range-Land Experts Have Designed Pasture Seed Mixes For Each Region Of The US.,4113,212,316.31,14.25,377.7,1.19,
Search | Animal Seed (Broad) | ROAS,22999216985,Alpaca,773132599345,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/pasture-seed/alpaca-llama-pastures/,Alpaca Pasture Seed,Nature's Seed™ - Americas Best,Region Specific Pasture Seed,Largest Variety of Expert Crafted Seed Mixes. Order Online & Get Free Shipping.,Our Range-Land Experts Have Designed Pasture Seed Mixes For Each Region Of The US.,1873,93,262.31,4.58,422.17,1.61,Old URL path (no /products/): /pasture-seed/alpaca-llama-pastures/
Search | Animal Seed (Broad) | ROAS,22999216985,Sheep,773132599195,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/products/pasture-seed/sheep-pastures-seed/,{KeyWord:Sheep Pasture Seed},Nature's Seed™ - Americas Best,Region Specific Pasture Seed,Largest Variety of Expert Crafted Seed Mixes. Order Online & Get Free Shipping.,Our Range-Land Experts Have Designed Pasture Seed Mixes For Each Region Of The US.,2935,146,237.19,2.53,185.2,0.78,
Search | Pasture | Exact,22866516659,Llama,771352317048,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/product/alpaca-llama-pasture-forage-mix/,Alpaca Pasture Seed,Alpaca Pasture Seed Mix,Alpaca-Safe Pasture Mix,"Build a safe, durable alpaca pasture with region-tuned seed blends.",High-purity seed and dependable establishment. Order today.,412,86,199.91,17.93,1719.1,8.6,Old URL path (no /products/): /product/alpaca-llama-pasture-forage-mix/
Search | Animal Seed (Broad) | ROAS,22999216985,Microclover,773132599333,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/products/clover-seed/microclover/,{KeyWord:Microclover® - Nature's Seed},Nature's Seed™ - Americas Best,Top Clover Seed,All the benefits of traditional white clover packed into very tiny leaves.,"Helps out-compete weeds, and keeps grass green all season long.",2979,118,177.26,7.16,180.31,1.02,
Search | Animal Seed (Broad) | ROAS,22999216985,Pig,773132599426,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/product/pig-pasture-forage-mix/,Pig Pasture Seed,Nature's Seed™ - Americas Best,Region Specific Pasture Seed,Largest Variety of Expert Crafted Seed Mixes. Order Online & Get Free Shipping.,Our Range-Land Experts Have Designed Pasture Seed Mixes For Each Region Of The US.,1930,79,150.83,8,339.85,2.25,Old URL path (no /products/): /product/pig-pasture-forage-mix/
Search | Pasture | Exact,22866516659,Wildflowers,797303485619,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/products/wildflower-seed/,Nature's Seed™ Wildflower Seed,Regional Wildflower Seed,Highest PLS seed in the US,Nature's Seed offers premium pasture seed mixes for northern climates.,"100% live seed, thorough testing, and US-grown, farm-direct sourcing.",1282,113,146.32,0,0,0,
Search | Animal Seed (Broad) | ROAS,22999216985,White Dutch Clover,773132599378,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/products/clover-seed/white-dutch-clover/,White Dutch Clover,Nature's Seed™ - Americas Best,Top Clover Seed,Clover tolerates a variety of soil conditions including poor-draining and low quality soil,"A clover lawn can be a low-cost, low-maintenance alternative to traditional turf lawns",2034,70,114.7,7,275.21,2.4,
Search | Animal Seed (Broad) | ROAS,22999216985,Pig,773132599423,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/products/pasture-seed/pig-pasture-forage-mix/,{KeyWord:Pig Pasture Seed},Nature's Seed™ - Americas Best,Region Specific Pasture Seed,Largest Variety of Expert Crafted Seed Mixes. Order Online & Get Free Shipping.,Our Range-Land Experts Have Designed Pasture Seed Mixes For Each Region Of The US.,1960,58,94.09,7,188.97,2.01,
Search | Animal Seed (Broad) | ROAS,22999216985,White Clover,797152153586,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/products/clover-seed/white-clover/,White Clover Seed,White Clover Planting,Highest PLS,Nature's Seed is an online retailer of high-quality wildflower seeds and mixes.,"Clover Lawn Seed & Wildflower Seed Mixes. High-Quality, Native, & Perennial Seeds.",467,29,68.96,0,0,0,
Search | Pasture | Exact,22866516659,Regional/Lawn,797195243664,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/products/grass-seed/twca-water-wise-sun-shade-mix/,PNW Grass Seed Mixes,NorCal Grass Seed Blends,Shop Regional Grass Seed,Grass seed for Pacific Northwest and Northern California climates. Cool-season blends.,Climate-matched grass seed at Nature's Seed. Regional lawn mixes for PNW and NorCal.,136,32,65.76,1,259.9,3.95,
Search | Animal Seed (Broad) | ROAS,22999216985,Microclover,773132599330,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/products/clover-seed/microclover/,Microclover® - Nature's Seed,Nature's Seed™ - Americas Best,Top Clover Seed,All the benefits of traditional white clover packed into very tiny leaves.,"Helps out-compete weeds, and keeps grass green all season long.",748,19,33.12,1,189.99,5.74,
Search | Animal Seed (Broad) | ROAS,22999216985,Alpaca,773132599339,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/products/pasture-seed/alpaca-llama-pasture-forage-mix/,{KeyWord:Alpaca Pasture Seed},Nature's Seed™ - Americas Best,Region Specific Pasture Seed,Largest Variety of Expert Crafted Seed Mixes. Order Online & Get Free Shipping.,Our Range-Land Experts Have Designed Pasture Seed Mixes For Each Region Of The US.,700,9,22.17,1,59.99,2.71,
Search | Pasture | Exact,22866516659,Hay Seed,797194961199,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/products/pasture-seed/timothy/,Nature's Seed,Nature's Seed: Grow More Hay,Timothy Grass Hay Seed,Premium timothy grass seed for hay production and livestock forage. High-yield varieties.,Timothy and orchard grass seed at Nature's Seed. Hay field and forage mixes in bulk.,145,22,20.74,0,0,0,
Search | Animal Seed (Broad) | ROAS,22999216985,Llama,773132599366,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/product/alpaca-llama-pasture-forage-mix/,Llama Pasture Seed,Nature's Seed™ - Americas Best,Region Specific Pasture Seed,Largest Variety of Expert Crafted Seed Mixes. Order Online & Get Free Shipping.,Our Range-Land Experts Have Designed Pasture Seed Mixes For Each Region Of The US.,0,0,0,0,0,0,Old URL path (no /products/): /product/alpaca-llama-pasture-forage-mix/
Search | Animal Seed (Broad) | ROAS,22999216985,Llama,773132599369,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/products/pasture-seed/alpaca-llama-pasture-forage-mix/,{KeyWord:Llama Pasture Seed},Nature's Seed™ - Americas Best,Region Specific Pasture Seed,Largest Variety of Expert Crafted Seed Mixes. Order Online & Get Free Shipping.,Our Range-Land Experts Have Designed Pasture Seed Mixes For Each Region Of The US.,0,0,0,0,0,0,
Search | Animal Seed (Broad) | ROAS,22999216985,Goat,773132599387,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/pasture-seed/goat-pastures/,{KeyWord:Goat Pasture Seed},Nature's Seed™ - Americas Best,Region Specific Pasture Seed,Largest Variety of Expert Crafted Seed Mixes. Order Online & Get Free Shipping.,Our Range-Land Experts Have Designed Pasture Seed Mixes For Each Region Of The US.,0,0,0,0,0,0,Old URL path (no /products/): /pasture-seed/goat-pastures/
Search | Animal Seed (Broad) | ROAS,22999216985,Goat,773132599390,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/pasture-seed/goat-pastures/,Goat Pasture Seed,Nature's Seed™ - Americas Best,Region Specific Pasture Seed,Largest Variety of Expert Crafted Seed Mixes. Order Online & Get Free Shipping.,Our Range-Land Experts Have Designed Pasture Seed Mixes For Each Region Of The US.,0,0,0,0,0,0,Old URL path (no /products/): /pasture-seed/goat-pastures/
Search | Animal Seed (Broad) | ROAS,22999216985,Bison,773132599570,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/product/big-game-food-plot-forage-mix/,Bison Pasture Seed,Nature's Seed™ - Americas Best,Region Specific Pasture Seed,Largest Variety of Expert Crafted Seed Mixes. Order Online & Get Free Shipping.,Our Range-Land Experts Have Designed Pasture Seed Mixes For Each Region Of The US.,14,0,0,0,0,0,Old URL path (no /products/): /product/big-game-food-plot-forage-mix/
Search | Pasture | Exact,22866516659,Clover,797304768224,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/products/clover-seed/,Nature's Seed,Plant Clover For Deer,Browse Our Inventory Online,Nature's Seed offers premium Clover Seed,"Our Seed Is US-Grown, Farm-Direct, Non-GMO, And No Fillers.",1,0,0,0,0,0,
