search_term,total_spend,total_conversions,total_conv_value,roas,reason
great basin seed utah,34.37,6.12,532.76,15.5,Competitor: great basin seed
createdbynature com,31.5,0.0,0.0,0.0,Competitor: created by nature
gurneys seeds,30.53,0.0,0.0,0.0,Competitor: gurneys
eden brothers,27.84,0.0,0.0,0.0,Competitor: eden brothers
eden brothers seeds,27.82,0.0,0.0,0.0,Competitor: eden brothers
ernst seed,27.76,0.0,0.0,0.0,Competitor: ernst seeds
deer creek seed company,25.45,0.0,0.0,0.0,Competitor: deer creek seed
naturejims com,23.19,0.0,0.0,0.0,Competitor: nature jim
naturesfinestseed,21.92,0.0,0.0,0.0,Competitor: nature's finest
earthwise seeds,18.85,0.0,0.0,0.0,Competitor: earthwise seed
seedworld,18.49,0.11,3.84,0.21,Competitor: seed world
king seed company,18.41,0.0,0.0,0.0,Competitor: king seed company
nature's finest shady area grass seed,18.31,0.0,0.0,0.0,Competitor: nature's finest
seed ranch,17.68,0.0,0.0,0.0,Competitor: seed ranch
www createdbynature com,16.75,0.0,0.0,0.0,Competitor: created by nature
barenbrug kentucky bluegrass seed,15.93,0.0,0.0,0.0,Competitor: barenbrug
outside pride miniclover,15.59,1.0,1.0,0.06,Competitor: outsidepride
seedsavers,14.93,0.0,0.0,0.0,Competitor: seed savers
outsidepride seeds,14.06,0.0,0.0,0.0,Competitor: outsidepride
seedland,13.67,0.0,0.0,0.0,Competitor: seedland
native american seed co,13.45,0.0,0.0,0.0,Competitor: native american seed
prairie moon nursery,13.44,1.0,125.99,9.37,Competitor: prairie moon
barenbrug grass seed,13.21,0.0,0.0,0.0,Competitor: barenbrug
nature's finest seeds,12.7,1.0,54.9,4.32,Competitor: nature's finest
prairie moon seed,12.7,0.0,0.0,0.0,Competitor: prairie moon
seedsuperstore,12.33,0.0,0.0,0.0,Competitor: seed superstore
eden brothers wildflower seeds,12.3,0.0,0.0,0.0,Competitor: eden brothers
hancock seed company,12.06,0.0,0.0,0.0,Competitor: hancock seed
american meadows wildflowers,11.51,0.0,0.0,0.0,Competitor: american meadows
seed superstore,11.37,0.0,0.0,0.0,Competitor: seed superstore
earthwise seed co,11.26,0.0,0.0,0.0,Competitor: earthwise seed
deer creek seed,11.02,0.0,0.0,0.0,Competitor: deer creek seed
american meadows microclover seed,10.91,1.0,1.0,0.09,Competitor: american meadows
seedneeds,10.9,0.0,0.0,0.0,Competitor: seed needs
www rareseeds com,10.56,0.0,0.0,0.0,Competitor: rare seeds / baker creek
nature's finest easy green grass seed,9.6,0.0,0.0,0.0,Competitor: nature's finest
american meadows micro clover,8.68,1.0,121.39,13.99,Competitor: american meadows
great basin seed co,8.3,0.0,0.0,0.0,Competitor: great basin seed
seedway llc,8.18,0.0,0.0,0.0,Competitor: seedway
nature jims sprouting seeds,8.13,0.0,0.0,0.0,Competitor: nature jim
barenbrug seed,8.09,0.0,0.0,0.0,Competitor: barenbrug
created by nature wildflower seeds,7.68,0.0,0.0,0.0,Competitor: created by nature
barenbrug resilient blue,7.58,0.0,0.0,0.0,Competitor: barenbrug
hancock seed microclover,7.3,0.0,0.0,0.0,Competitor: hancock seed
outsidepride,7.19,0.0,0.0,0.0,Competitor: outsidepride
seedranch,6.94,0.0,0.0,0.0,Competitor: seed ranch
barenbrug seeds,6.9,0.0,0.0,0.0,Competitor: barenbrug
prairie moon,6.74,0.0,0.0,0.0,Competitor: prairie moon
rare seeds,6.65,0.0,0.0,0.0,Competitor: rare seeds / baker creek
earthwise seed company reviews,6.57,0.0,0.0,0.0,Competitor: earthwise seed
naturesfinestseed com,6.45,0.0,0.0,0.0,Competitor: nature's finest
gurneys com,6.44,0.0,0.0,0.0,Competitor: gurneys
prairie nursery,6.21,0.0,0.0,0.0,Competitor: prairie nursery
pure seed grass seed,5.94,0.0,0.0,0.0,Competitor: pure seed
barenbrug water saver,5.72,0.0,0.0,0.0,Competitor: barenbrug
earthwise seed,5.59,0.0,0.0,0.0,Competitor: earthwise seed
american meadows seed,5.52,0.0,0.0,0.0,Competitor: american meadows
rareseeds,4.83,0.0,0.0,0.0,Competitor: rare seeds / baker creek
boston seed company,4.63,0.0,0.0,0.0,Competitor: boston seeds
myseeds,4.55,0.0,0.0,0.0,Competitor: myseeds
great basin seed company,4.47,1.0,1.0,0.22,Competitor: great basin seed
prairie moon nursery seeds,4.45,0.0,0.0,0.0,Competitor: prairie moon
seed savers,4.31,0.0,0.0,0.0,Competitor: seed savers
seedway,4.26,0.0,0.0,0.0,Competitor: seedway
american meadows wildflower mix,4.17,0.0,0.0,0.0,Competitor: american meadows
earthwise seed company,4.11,0.0,0.0,0.0,Competitor: earthwise seed
outsidepride mini clover,3.92,1.0,245.88,62.72,Competitor: outsidepride
hancock seed discount code,3.8,0.0,0.0,0.0,Competitor: hancock seed
native american seeds texas,3.77,0.0,0.0,0.0,Competitor: native american seed
americanmeadows com,3.76,0.0,0.0,0.0,Competitor: american meadows
rareseeds com,3.75,0.0,0.0,0.0,Competitor: rare seeds / baker creek
seed needs,3.7,0.0,0.0,0.0,Competitor: seed needs
gurney seeds,3.66,0.0,0.0,0.0,Competitor: gurneys
barenbrug rpr lawn,3.19,0.0,0.0,0.0,Competitor: barenbrug
southern exposure seeds,3.13,0.0,0.0,0.0,Competitor: southern exposure
seedland grass seed,3.13,0.0,0.0,0.0,Competitor: seedland
ernst seeds pollinator mix,3.12,0.0,0.0,0.0,Competitor: ernst seeds
ohio prairie nursery,2.89,0.0,0.0,0.0,Competitor: prairie nursery
seed world usa,2.81,0.0,0.0,0.0,Competitor: seed world
seedway seeds,2.74,0.0,0.0,0.0,Competitor: seedway
nature jims sprouts broccoli sprout seeds certified organic broccoli sprouting seeds for indooroutdoor use,2.7,0.0,0.0,0.0,Competitor: nature jim
eden brothers seed,2.58,0.0,0.0,0.0,Competitor: eden brothers
native american seeds,2.54,0.0,0.0,0.0,Competitor: native american seed
rare seeds baker creek,2.43,0.0,0.0,0.0,Competitor: baker creek
seedsuperstore com,2.38,0.0,0.0,0.0,Competitor: seed superstore
johnnysseeds com,2.37,0.0,0.0,0.0,Competitor: johnny's seeds
https www rareseeds com,2.36,0.0,0.0,0.0,Competitor: rare seeds / baker creek
ernst seed wildflower mix,2.28,0.0,0.0,0.0,Competitor: ernst seeds
createdbynature,2.27,0.0,0.0,0.0,Competitor: created by nature
jacklin seed company,2.18,0.0,0.0,0.0,Competitor: jacklin seed
gurneys seed & nursery co,2.15,0.0,0.0,0.0,Competitor: gurneys
hancock seed clover,2.07,0.0,0.0,0.0,Competitor: hancock seed
outsidepride legacy fine fescue grass seed mix,1.95,0.0,0.0,0.0,Competitor: outsidepride
true leaf seed co,1.95,0.0,0.0,0.0,Competitor: true leaf market
seedranch pensacola bahia grass seed,1.93,0.0,0.0,0.0,Competitor: seed ranch
deer creek seed co,1.93,0.0,0.0,0.0,Competitor: deer creek seed
true leaf market seeds,1.91,0.0,0.0,0.0,Competitor: true leaf market
native american seed junction tx,1.89,0.0,0.0,0.0,Competitor: native american seed
outsidepride arden 15 hybrid bermuda grass seed,1.88,0.0,0.0,0.0,Competitor: outsidepride
barenbrug,1.8,0.0,0.0,0.0,Competitor: barenbrug
barenbrug pasture mix,1.77,0.0,0.0,0.0,Competitor: barenbrug
barenbrug water less,1.72,0.0,0.0,0.0,Competitor: barenbrug
barenbrug clover seed,1.71,0.0,0.0,0.0,Competitor: barenbrug
johnny seeds,1.69,0.0,0.0,0.0,Competitor: johnny's seeds
american meadows,1.67,0.0,0.0,0.0,Competitor: american meadows
nature jims sprouts salad sprout mix,1.67,0.0,0.0,0.0,Competitor: nature jim
eden brothers perennial wildflower seeds,1.67,0.0,0.0,0.0,Competitor: eden brothers
boston seed,1.67,0.0,0.0,0.0,Competitor: boston seeds
southern exposure,1.63,0.0,0.0,0.0,Competitor: southern exposure
native american seed thunder turf,1.62,0.0,0.0,0.0,Competitor: native american seed
barenbrug resilient blue lawn,1.61,0.0,0.0,0.0,Competitor: barenbrug
deer creek seeds,1.58,0.0,0.0,0.0,Competitor: deer creek seed
outsidepride miniclover,1.58,0.0,0.0,0.0,Competitor: outsidepride
seed savers catalog,1.51,0.0,0.0,0.0,Competitor: seed savers
johnny seeds cover crop,1.51,0.0,0.0,0.0,Competitor: johnny's seeds
barenbrug usa,1.49,0.0,0.0,0.0,Competitor: barenbrug
barenbrug bar fescue,1.48,0.0,0.0,0.0,Competitor: barenbrug
myseeds com,1.47,0.0,0.0,0.0,Competitor: myseeds
outsidepride white miniclover seeds,1.42,0.0,0.0,0.0,Competitor: outsidepride
american meadows clover,1.42,0.0,0.0,0.0,Competitor: american meadows
outsidepride com,1.42,0.0,0.0,0.0,Competitor: outsidepride
outsidepride micro clover,1.38,0.0,0.0,0.0,Competitor: outsidepride
hancock seed bermuda,1.38,0.0,0.0,0.0,Competitor: hancock seed
barenbrug stockmaster,1.38,0.0,0.0,0.0,Competitor: barenbrug
true leaf market seed,1.31,0.0,0.0,0.0,Competitor: true leaf market
prairie moon seed mixes,1.29,0.0,0.0,0.0,Competitor: prairie moon
baker creek seeds website,1.28,0.0,0.0,0.0,Competitor: baker creek
pennington bare spot repair,1.28,0.0,0.0,0.0,Competitor: pennington
outsidepride white dutch clover,1.26,0.0,0.0,0.0,Competitor: outsidepride
grass seed superstore,1.26,0.0,0.0,0.0,Competitor: seed superstore
simplot grass seed,1.24,0.0,0.0,0.0,Competitor: simplot
baker rare seeds,1.23,0.0,0.0,0.0,Competitor: rare seeds / baker creek
pennington seed,1.2,0.0,0.0,0.0,Competitor: pennington
www rareseeds com promo code,1.17,0.0,0.0,0.0,Competitor: rare seeds / baker creek
outsidepride white dutch clover seed,1.16,0.0,0.0,0.0,Competitor: outsidepride
barenbrug rtf,1.15,0.0,0.0,0.0,Competitor: barenbrug
barenbrug turf star regenerating perennial ryegrass grass seed with yellow jacket seed coating,1.15,0.0,0.0,0.0,Competitor: barenbrug
hancockseed com,1.09,0.0,0.0,0.0,Competitor: hancock seed
native american seeds for sale,1.07,0.0,0.0,0.0,Competitor: native american seed
www outsidepride com,1.07,0.0,0.0,0.0,Competitor: outsidepride
scotts grass seed home depot,1.06,0.0,0.0,0.0,Competitor: scotts
hancock seed co,1.04,0.0,0.0,0.0,Competitor: hancock seed
seed ranch florida,1.03,0.0,0.0,0.0,Competitor: seed ranch
eden brothers wildflowers,1.02,0.0,0.0,0.0,Competitor: eden brothers
hancock seeds florida,0.98,0.0,0.0,0.0,Competitor: hancock seed
pennington pensacola bahiagrass,0.97,0.0,0.0,0.0,Competitor: pennington
pennington smart seed,0.97,0.0,0.0,0.0,Competitor: pennington
american meadow seeds,0.89,0.0,0.0,0.0,Competitor: american meadows
pennington seed company,0.85,0.0,0.0,0.0,Competitor: pennington
johnny seeds catalog 2025,0.84,0.0,0.0,0.0,Competitor: johnny's seeds
pennington white clover seed,0.82,0.0,0.0,0.0,Competitor: pennington
pennington rebels tall fescue grass seed,0.76,0.0,0.0,0.0,Competitor: pennington
ernst seed switchgrass,0.74,0.0,0.0,0.0,Competitor: ernst seeds
scotts grass seed,0.74,0.0,0.0,0.0,Competitor: scotts
buy barenbrug grass seed,0.73,0.0,0.0,0.0,Competitor: barenbrug
eco grass prairie moon,0.71,0.0,0.0,0.0,Competitor: prairie moon
myseeds website,0.71,0.0,0.0,0.0,Competitor: myseeds
myseeds co,0.7,0.0,0.0,0.0,Competitor: myseeds
outsidepride midnight kentucky bluegrass lawn grass seed,0.68,0.0,0.0,0.0,Competitor: outsidepride
rare seeds catalog,0.68,0.0,0.0,0.0,Competitor: rare seeds / baker creek
outside pride mini clover,0.65,0.0,0.0,0.0,Competitor: outsidepride
barenbrug lawn clover,0.65,0.0,0.0,0.0,Competitor: barenbrug
seedranch giant bermuda grass seed hulled,0.64,0.0,0.0,0.0,Competitor: seed ranch
barenbrug perennial ryegrass,0.62,0.0,0.0,0.0,Competitor: barenbrug
what kind of grass is pennington contractors mix,0.62,0.0,0.0,0.0,Competitor: pennington
americanmeadows com grow,0.62,0.0,0.0,0.0,Competitor: american meadows
barenbrug shadow & sun,0.62,0.0,0.0,0.0,Competitor: barenbrug
barenbrug ultrafine rpr golf 15kg,0.59,0.0,0.0,0.0,Competitor: barenbrug
pennington kentucky 31,0.57,0.0,0.0,0.0,Competitor: pennington
barenbrug tough and easy,0.54,0.0,0.0,0.0,Competitor: barenbrug
pennington grass seed,0.52,0.0,0.0,0.0,Competitor: pennington
nature's finest grass seed reviews,0.51,0.0,0.0,0.0,Competitor: nature's finest
johnnyseeds com,0.5,0.0,0.0,0.0,Competitor: johnny's seeds
barenbrug tall fescue,0.5,0.0,0.0,0.0,Competitor: barenbrug
pennington bermuda grass,0.5,0.0,0.0,0.0,Competitor: pennington
scotts sun and shade grass seed,0.5,0.0,0.0,0.0,Competitor: scotts
pennington grass seed bermuda,0.49,0.0,0.0,0.0,Competitor: pennington
pennington kentucky 31 grass seed,0.49,0.0,0.0,0.0,Competitor: pennington
myseeds com grow a garden,0.48,0.0,0.0,0.0,Competitor: myseeds
barenbrug grass,0.48,0.0,0.0,0.0,Competitor: barenbrug
scotts turf builder rapid grass seed sun & shade mix,0.48,0.0,0.0,0.0,Competitor: scotts
true leaf seeds,0.47,0.0,0.0,0.0,Competitor: true leaf market
pure seed,0.46,0.0,0.0,0.0,Competitor: pure seed
pennington kentucky 31 tall fescue grass seed,0.46,0.0,0.0,0.0,Competitor: pennington
scotts grass seed 50 lbs,0.45,0.0,0.0,0.0,Competitor: scotts
scotts clover lawn,0.45,0.0,0.0,0.0,Competitor: scotts
outsidepride grass,0.44,0.0,0.0,0.0,Competitor: outsidepride
seed ranch grass seed,0.44,0.0,0.0,0.0,Competitor: seed ranch
seedsuperstore kentucky bluegrass,0.44,0.0,0.0,0.0,Competitor: seed superstore
johnny seed company,0.43,0.0,0.0,0.0,Competitor: johnny's seeds
scotts zoysia grass seed,0.42,0.0,0.0,0.0,Competitor: scotts
seeds rareseeds com,0.42,0.0,0.0,0.0,Competitor: rare seeds / baker creek
scotts turf builder grass seed sun shade mix,0.41,0.0,0.0,0.0,Competitor: scotts
ernst seed mixes,0.39,0.0,0.0,0.0,Competitor: ernst seeds
outsidepride arden 15,0.36,0.0,0.0,0.0,Competitor: outsidepride
seedway forage seed,0.36,0.0,0.0,0.0,Competitor: seedway
seed ranch seed xtra graze bmr sorghum sudangrass,0.36,0.0,0.0,0.0,Competitor: seed ranch
scotts nature scapes classic black 42.5 l,0.36,0.0,0.0,0.0,Competitor: scotts
scotts turf,0.34,0.0,0.0,0.0,Competitor: scotts
barenbrug kentucky bluegrass,0.32,0.0,0.0,0.0,Competitor: barenbrug
barenbrug premium chicks mix,0.3,0.0,0.0,0.0,Competitor: barenbrug
pennington kentucky 31 tall fescue,0.3,0.0,0.0,0.0,Competitor: pennington
scotts turf builder grass seed kentucky bluegrass mix 5.6 lbs,0.3,0.0,0.0,0.0,Competitor: scotts
true leaf market,0.29,0.0,0.0,0.0,Competitor: true leaf market
johnnyseeds,0.29,0.0,0.0,0.0,Competitor: johnny's seeds
american meadows pacific northwest,0.28,0.0,0.0,0.0,Competitor: american meadows
seedsavers org,0.28,0.0,0.0,0.0,Competitor: seed savers
barenbrug rtf tall fescue,0.27,0.0,0.0,0.0,Competitor: barenbrug
baker creek seeds store,0.27,0.0,0.0,0.0,Competitor: baker creek
american meadows vt,0.26,0.0,0.0,0.0,Competitor: american meadows
plants of the southwest,0.24,0.0,0.0,0.0,Competitor: plants of the southwest
buy rare seeds,0.24,0.0,0.0,0.0,Competitor: rare seeds / baker creek
pennington seed inc,0.24,0.0,0.0,0.0,Competitor: pennington
prairie moon nursery seed mixes,0.23,0.0,0.0,0.0,Competitor: prairie moon
plant seed world,0.23,0.0,0.0,0.0,Competitor: seed world
rare seeds for sale,0.22,0.0,0.0,0.0,Competitor: rare seeds / baker creek
seed savers exchange,0.2,0.0,0.0,0.0,Competitor: seed savers
scotts grass,0.16,0.0,0.0,0.0,Competitor: scotts
scotts turf builder kentucky bluegrass seed,0.16,0.0,0.0,0.0,Competitor: scotts
granite seed and erosion control,0.15,0.0,0.0,0.0,Competitor: granite seed
outsidepride alfalfa legume seed,0.14,0.0,0.0,0.0,Competitor: outsidepride
kentucky bluegrass pure seed for dense lush durable lawn winter hardy,0.14,0.0,0.0,0.0,Competitor: pure seed
www baker creek heirloom seeds com,0.14,0.0,0.0,0.0,Competitor: baker creek
scotts bermuda grass seed,0.11,0.0,0.0,0.0,Competitor: scotts
pennington triangle bermuda grass seed,0.11,0.0,0.0,0.0,Competitor: pennington
pennington grass,0.1,0.0,0.0,0.0,Competitor: pennington
plants of the southwest desert,0.03,0.0,0.0,0.0,Competitor: plants of the southwest
