Year,Month,Category,Impressions,Clicks,CTR,Cost ($),Conversions,Conv. Value ($),ROAS,Cost/Conv ($)
2025,2025-03-01,Wildflowers,80862,2256,2.79%,3534.30,41.06,9078.02,2.57,86.08
2025,2025-04-01,Pasture Seed,275058,5123,1.86%,8711.18,133.03,22162.15,2.54,65.48
2025,2025-04-01,Uncategorized,2213153,32045,1.45%,40889.52,645.49,113915.69,2.79,63.35
2025,2025-04-01,Wildflowers,54631,2179,3.99%,4612.28,75.30,12837.57,2.78,61.25
2025,2025-05-01,Pasture Seed,316527,5419,1.71%,7537.59,163.10,24017.58,3.19,46.21
2025,2025-05-01,Uncategorized,1309496,16741,1.28%,21282.81,415.89,65127.12,3.06,51.17
2025,2025-05-01,Wildflowers,10434,329,3.15%,1066.44,13.79,1595.35,1.50,77.33
2025,2025-06-01,Pasture Seed,250150,3578,1.43%,4100.23,103.83,17219.03,4.20,39.49
2025,2025-06-01,Uncategorized,307719,4273,1.39%,4895.59,88.50,13000.69,2.66,55.32
2025,2025-07-01,Pasture Seed,197319,2841,1.44%,3053.25,48.82,9655.01,3.16,62.54
2025,2025-07-01,Uncategorized,144547,2339,1.62%,2843.67,70.79,11078.83,3.90,40.17
2025,2025-08-01,Lawn Seed,17455,901,5.16%,654.50,9.00,556.68,0.85,72.72
2025,2025-08-01,Pasture Seed,164560,5148,3.13%,6535.41,214.59,21311.84,3.26,30.46
2025,2025-08-01,Uncategorized,469197,4630,0.99%,6495.68,391.65,32134.77,4.95,16.59
2025,2025-09-01,Lawn Seed,17361,1104,6.36%,819.13,43.94,2391.75,2.92,18.64
2025,2025-09-01,Pasture Seed,77632,4909,6.32%,8521.74,401.47,35877.85,4.21,21.23
2025,2025-09-01,Uncategorized,1348252,12270,0.91%,17717.84,1391.32,63341.50,3.58,12.73
2025,2025-10-01,Lawn Seed,20338,1490,7.33%,801.11,14.26,580.56,0.72,56.18
2025,2025-10-01,Pasture Seed,67365,4207,6.25%,6557.87,258.07,14344.40,2.19,25.41
2025,2025-10-01,Uncategorized,1073337,11937,1.11%,15608.97,1082.98,57672.80,3.69,14.41
2025,2025-11-01,Lawn Seed,4526,398,8.79%,234.16,3.00,42.57,0.18,78.05
2025,2025-11-01,Pasture Seed,20042,1465,7.31%,2066.15,76.10,4106.55,1.99,27.15
2025,2025-11-01,Uncategorized,468781,6002,1.28%,7089.27,375.44,19463.88,2.75,18.88
2025,2025-12-01,Lawn Seed,2482,200,8.06%,151.62,1.00,41.82,0.28,151.62
2025,2025-12-01,Pasture Seed,10783,932,8.64%,1255.01,11.68,1841.52,1.47,107.45
2025,2025-12-01,Uncategorized,388581,4761,1.23%,5202.94,90.23,15782.24,3.03,57.66
2026,2026-01-01,Lawn Seed,2348,187,7.96%,284.05,2.87,7.05,0.02,98.97
2026,2026-01-01,Pasture Seed,13321,1290,9.68%,2180.59,27.59,6799.47,3.12,79.04
2026,2026-01-01,Uncategorized,892718,11292,1.26%,11806.40,289.00,42119.56,3.57,40.85
2026,2026-02-01,Lawn Seed,899,63,7.01%,188.22,2.03,133.44,0.71,92.72
2026,2026-02-01,Pasture Seed,19246,1614,8.39%,2725.54,48.08,8012.29,2.94,56.69
2026,2026-02-01,Uncategorized,2471393,33561,1.36%,42749.51,620.86,111743.79,2.61,68.86
2026,2026-03-01,Pasture Seed,1448,190,13.12%,262.24,12.80,1069.54,4.08,20.49
2026,2026-03-01,Uncategorized,527889,6516,1.23%,8190.60,185.49,23991.42,2.93,44.16
