Campaign ID,Campaign Name,Status,Channel Type,Inferred Category
11026048556,Horse - Pasture Seed - Great Plains (S),REMOVED,SEARCH,Pasture Seed
11030944252,Horse - Pasture Seed - Great Plains (Shopping),REMOVED,SHOPPING,Pasture Seed
11026048559,Horse - Pasture Seed - Intermountain West (S),REMOVED,SEARCH,Pasture Seed
11030944255,Horse - Pasture Seed - Intermountain West (Shopping),REMOVED,SHOPPING,Pasture Seed
11026048682,Horse - Pasture Seed - Midwest / Mid-Atlantic (S),REMOVED,SEARCH,Pasture Seed
11026048685,Horse - Pasture Seed - Pacific Northwest (S),REMOVED,SEARCH,Pasture Seed
11030944261,Horse - Pasture Seed - Pacific Northwest (Shopping),REMOVED,SHOPPING,Pasture Seed
11026048688,Horse - Pasture Seed - Pacific Southwest (S),REMOVED,SEARCH,Pasture Seed
11030944264,Horse - Pasture Seed - Pacific Southwest (Shopping),REMOVED,SHOPPING,Pasture Seed
11026048691,Horse - Pasture Seed - South Atlantic Transitional (S),REMOVED,SEARCH,Pasture Seed
11030944474,Horse - Pasture Seed - South Atlantic Transitional (Shopping),REMOVED,SHOPPING,Pasture Seed
11026048694,Horse - Pasture Seed - Southern Subtropics (S),REMOVED,SEARCH,Pasture Seed
11030944459,Horse - Pasture Seed - Southern Subtropics (Shopping),REMOVED,SHOPPING,Pasture Seed
11026048697,Horse - Pasture Seed - Southwest Desert (S),REMOVED,SEARCH,Pasture Seed
11030944462,Horse - Pasture Seed - Southwest Desert (Shopping),REMOVED,SHOPPING,Pasture Seed
11026048700,Horse - Pasture Seed - Southwest Steppe (S),REMOVED,SEARCH,Pasture Seed
11030944465,Horse - Pasture Seed - Southwest Steppe (Shopping),REMOVED,SHOPPING,Pasture Seed
11026048703,Horse - Pasture Seed - Southwest Transitional (S),REMOVED,SEARCH,Pasture Seed
11030944468,Horse - Pasture Seed - Southwest Transitional (Shopping),REMOVED,SHOPPING,Pasture Seed
11346876900,Horse Pasture Seed (Shopping),REMOVED,SHOPPING,Pasture Seed
17853485982,Intermountain West | DSA,PAUSED,SEARCH,Uncategorized
12455938522,Intermountain West | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,Pasture Seed
22102063129,Intermountain West | PMax | ROAS,PAUSED,PERFORMANCE_MAX,Uncategorized
16806430758,Intermountain West | Performance Max | Pasture Seed,REMOVED,PERFORMANCE_MAX,Pasture Seed
16806373641,Intermountain West | Performance Max | Pasture Seed (dep),REMOVED,PERFORMANCE_MAX,Pasture Seed
16595988440,Intermountain West | Search | Pasture Seed,REMOVED,SEARCH,Pasture Seed
17738427250,Intermountain West | Shopping,PAUSED,SHOPPING,Uncategorized
12455902683,Intermountain West | Shopping | Forage Mixes,REMOVED,SHOPPING,Pasture Seed
18022751259,Intermountain West | Shopping | Forage Mixes,PAUSED,SHOPPING,Pasture Seed
175649134,Kentucky Grass Seed,REMOVED,SEARCH,Lawn Seed
81197134,Lawn Grass Seed,REMOVED,SEARCH,Lawn Seed
12712778104,Max Conversion Value,REMOVED,SEARCH,Uncategorized
22092203670,Midwest + Atlantic | PMax | ROAS,PAUSED,PERFORMANCE_MAX,Uncategorized
17871484311,Midwest / Mid-Atlantic | DSA,PAUSED,SEARCH,Uncategorized
12425316629,Midwest / Mid-Atlantic | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,Pasture Seed
17738427268,Midwest / Mid-Atlantic | Shopping,PAUSED,SHOPPING,Uncategorized
11030944258,Midwest / Mid-Atlantic | Shopping | Forage Mixes,REMOVED,SHOPPING,Pasture Seed
18022751262,Midwest / Mid-Atlantic | Shopping | Forage Mixes,PAUSED,SHOPPING,Pasture Seed
19786655700,Midwest / Mid-Atlantic | State-Targeted | DSA,PAUSED,SEARCH,Uncategorized
19786655697,Midwest / Mid-Atlantic | State-Targeted | Shopping,PAUSED,SHOPPING,Uncategorized
10898719402,Midwest Wildflower Blend (S),REMOVED,SEARCH,Wildflowers
10899623490,Midwest Wildflower Blend (Shopping),REMOVED,SHOPPING,Wildflowers
167704054,Mother's Day Gifts,REMOVED,SEARCH,Uncategorized
16503493089,Nat | PMax | Catch All,REMOVED,PERFORMANCE_MAX,Uncategorized
18022523001,Nat | PMax | Pasture Seed | ROAS,PAUSED,PERFORMANCE_MAX,Pasture Seed
19197368344,Nat | PMax | Wildflower Seed | Max Conv,PAUSED,PERFORMANCE_MAX,Wildflowers
171225454,New York Grass Seed,REMOVED,SEARCH,Lawn Seed
10695216196,Northeast Wildflower Blend (S),REMOVED,SEARCH,Wildflowers
13743901389,Northeast Wildflower Blend (Shopping),REMOVED,SHOPPING,Wildflowers
10512011910,Northwest Wildflower Blend (S),REMOVED,SEARCH,Wildflowers
10509250703,Northwest Wildflower Blend (Shopping),REMOVED,SHOPPING,Wildflowers
23453477009,PMAX - Search,ENABLED,PERFORMANCE_MAX,Uncategorized
22944456167,PMAX | Catch all,ENABLED,PERFORMANCE_MAX,Uncategorized
21821573206,PMax | Grass Seed | ROAS | New Acq,PAUSED,PERFORMANCE_MAX,Lawn Seed
17861381741,Pacific Northwest | DSA,PAUSED,SEARCH,Uncategorized
12118276038,Pacific Northwest | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,Pasture Seed
16806278826,Pacific Northwest | Performance Max | Pasture Seed,REMOVED,PERFORMANCE_MAX,Pasture Seed
17746298618,Pacific Northwest | Shopping,PAUSED,SHOPPING,Uncategorized
12121251997,Pacific Northwest | Shopping | Forage Mixes,REMOVED,SHOPPING,Pasture Seed
18022751265,Pacific Northwest | Shopping | Forage Mixes,PAUSED,SHOPPING,Pasture Seed
17853495033,Pacific Southwest | DSA,PAUSED,SEARCH,Uncategorized
12455805507,Pacific Southwest | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,Pasture Seed
20755812906,Pacific Southwest | DSA | Honey Bee,PAUSED,SEARCH,Uncategorized
20755812909,Pacific Southwest | PMax | Honey Bee,PAUSED,PERFORMANCE_MAX,Uncategorized
16806430749,Pacific Southwest | Performance Max | Pasture Seed,REMOVED,PERFORMANCE_MAX,Pasture Seed
16806373632,Pacific Southwest | Performance Max | Pasture Seed (dep),REMOVED,PERFORMANCE_MAX,Pasture Seed
16595988443,Pacific Southwest | Search | Pasture Seed,REMOVED,SEARCH,Pasture Seed
17738427247,Pacific Southwest | Shopping,PAUSED,SHOPPING,Uncategorized
12455805510,Pacific Southwest | Shopping | Forage Mixes,REMOVED,SHOPPING,Pasture Seed
18022751268,Pacific Southwest | Shopping | Forage Mixes,PAUSED,SHOPPING,Pasture Seed
20755812903,Pacific Southwest | Shopping | Honey Bee,PAUSED,SHOPPING,Uncategorized
172289014,Pasture Seed (S) - US,REMOVED,SEARCH,Pasture Seed
7780175230,Pasture Seed - California - Winter (S),REMOVED,SEARCH,Pasture Seed
10897391194,Pasture Seed - Florida Tropics (R),REMOVED,DISPLAY,Pasture Seed
10900278875,Pasture Seed - Great Lakes / New England (R),REMOVED,DISPLAY,Pasture Seed
10900424762,Pasture Seed - Great Plains (R),REMOVED,DISPLAY,Pasture Seed
10900066466,Pasture Seed - Intermountain West (R),REMOVED,DISPLAY,Pasture Seed
10897746630,Pasture Seed - Midwest / Mid-Atlantic (R),REMOVED,DISPLAY,Pasture Seed
7780175233,Pasture Seed - Other States - Winter (S),REMOVED,SEARCH,Pasture Seed
10897027378,Pasture Seed - Pacific Northwest (R),REMOVED,DISPLAY,Pasture Seed
10897554856,Pasture Seed - Pacific Southwest (R),REMOVED,DISPLAY,Pasture Seed
10897802364,Pasture Seed - South Atlantic Transitional (R),REMOVED,DISPLAY,Pasture Seed
10897892388,Pasture Seed - Southern Subtropics (R),REMOVED,DISPLAY,Pasture Seed
10898227863,Pasture Seed - Southwest Desert (R),REMOVED,DISPLAY,Pasture Seed
10898047158,Pasture Seed - Southwest Steppe (R),REMOVED,DISPLAY,Pasture Seed
10901099714,Pasture Seed - Southwest Transitional (R),REMOVED,DISPLAY,Pasture Seed
207768454,Pasture Seeds (DSK),REMOVED,DISPLAY,Pasture Seed
7781031034,Pasture Seeds - California - Winter (Shopping),REMOVED,SHOPPING,Pasture Seed
7781031037,Pasture Seeds - Other States - Winter (Shopping),REMOVED,SHOPPING,Pasture Seed
11675463564,Perennial Ryegrass (DSA),REMOVED,SEARCH,Lawn Seed
10148847809,Perennial Ryegrass (S),REMOVED,SEARCH,Lawn Seed
10157340468,Perennial Ryegrass - Pasture Seed (Shopping),REMOVED,SHOPPING,Lawn Seed
10153306471,Perennial Ryegrass Seed Blend - Grass Seed (Shopping),REMOVED,SHOPPING,Lawn Seed
10096290221,Placements (D),REMOVED,DISPLAY,Uncategorized
8702907355,Q1 - 2020 - High Volume Products (Shopping),REMOVED,SHOPPING,Uncategorized
9571257294,Q2 - 2020 - High Volume Products (Shopping),REMOVED,SHOPPING,Uncategorized
207365614,RLSA,REMOVED,SEARCH,Uncategorized
6512384049,Remarketing,REMOVED,DISPLAY,Uncategorized
10149266333,Rocky Mountain Wildflower Blend (S),REMOVED,SEARCH,Wildflowers
10148860772,Rocky Mountain Wildflower Blend (Shopping),REMOVED,SHOPPING,Wildflowers
22999216985,Search | Animal Seed (Broad) | ROAS,ENABLED,SEARCH,Uncategorized
187765054,Search | Brand | ROAS,ENABLED,SEARCH,Uncategorized
20455141169,Search | Categories (Top) | ROAS,PAUSED,SEARCH,Uncategorized
23480296221,Search | Lawn - Broad,PAUSED,SEARCH,Lawn Seed
22887650044,Search | Lawn Seed,PAUSED,SEARCH,Lawn Seed
22092203679,Search | Pasture Seed (Broad) | ROAS,PAUSED,SEARCH,Pasture Seed
22866516659,Search | Pasture | Exact,ENABLED,SEARCH,Pasture Seed
165846334,Seperate Wildflowers,REMOVED,SEARCH,Wildflowers
6769940788,Shopping - Pasture Seeds,REMOVED,SHOPPING,Pasture Seed
6767848743,Shopping - Wildflower Seeds,REMOVED,SHOPPING,Wildflowers
22912532527,Shopping | Brand,PAUSED,SHOPPING,Uncategorized
22908379664,Shopping | Catch All.,ENABLED,SHOPPING,Uncategorized
22527625831,Shopping | Grass | ROAS,PAUSED,SHOPPING,Uncategorized
22570894479,Shopping | Pasture | ROAS,PAUSED,SHOPPING,Pasture Seed
22687516244,Shopping | Wildlflower & Specialty,PAUSED,SHOPPING,Uncategorized
13558031185,Shopping | grass | ROAS,PAUSED,SHOPPING,Uncategorized
14335801122,Smart Shopping Test,REMOVED,SHOPPING,Uncategorized
17871484314,South Atlantic Transitional | DSA,PAUSED,SEARCH,Uncategorized
22092203673,South Atlantic | PMax | ROAS,PAUSED,PERFORMANCE_MAX,Uncategorized
12425316635,South-Atlantic Transitional | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,Pasture Seed
17738427271,South-Atlantic Transitional | Shopping,PAUSED,SHOPPING,Uncategorized
12425316632,South-Atlantic Transitional | Shopping | Forage Mixes,REMOVED,SHOPPING,Pasture Seed
18022751271,South-Atlantic Transitional | Shopping | Forage Mixes,PAUSED,SHOPPING,Pasture Seed
12713296013,Southern States | DSA | Warm-Season Grasses,REMOVED,SEARCH,Uncategorized
19858171917,Southern States | DSA | Warm-Season Grasses,PAUSED,SEARCH,Uncategorized
17499169390,Southern States | Search | Warm-Season Grasses,REMOVED,SEARCH,Uncategorized
19858172040,Southern States | Search | Warm-Season Grasses,PAUSED,SEARCH,Uncategorized
12713197828,Southern States | Shopping | Warm-Season Grasses,REMOVED,SHOPPING,Uncategorized
19858171914,Southern States | Shopping | Warm-Season Grasses,PAUSED,SHOPPING,Uncategorized
17871484317,Southern Subtropics | DSA,PAUSED,SEARCH,Uncategorized
12428489722,Southern Subtropics | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,Pasture Seed
16595988446,Southern Subtropics | Search | Pasture Seed,REMOVED,SEARCH,Pasture Seed
17738427274,Southern Subtropics | Shopping,PAUSED,SHOPPING,Uncategorized
12428489719,Southern Subtropics | Shopping | Forage Mixes,REMOVED,SHOPPING,Pasture Seed
18022751274,Southern Subtropics | Shopping | Forage Mixes,PAUSED,SHOPPING,Pasture Seed
10036752180,Southwest Desert Honey Bee (Shopping),REMOVED,SHOPPING,Uncategorized
17871484299,Southwest Desert | DSA,PAUSED,SEARCH,Uncategorized
12453610238,Southwest Desert | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,Pasture Seed
16806430752,Southwest Desert | Performance Max | Pasture Seed,REMOVED,PERFORMANCE_MAX,Pasture Seed
16806373635,Southwest Desert | Performance Max | Pasture Seed (dep),REMOVED,PERFORMANCE_MAX,Pasture Seed
17738427256,Southwest Desert | Shopping,PAUSED,SHOPPING,Uncategorized
12455902689,Southwest Desert | Shopping | Forage Mixes,REMOVED,SHOPPING,Pasture Seed
18022751277,Southwest Desert | Shopping | Forage Mixes,PAUSED,SHOPPING,Pasture Seed
17871484305,Southwest Steppe | DSA,PAUSED,SEARCH,Uncategorized
12453610304,Southwest Steppe | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,Pasture Seed
17738427262,Southwest Steppe | Shopping,PAUSED,SHOPPING,Uncategorized
12455902695,Southwest Steppe | Shopping | Forage Mixes,REMOVED,SHOPPING,Pasture Seed
18022751400,Southwest Steppe | Shopping | Forage Mixes,PAUSED,SHOPPING,Pasture Seed
17861519258,Southwest Transitional | DSA,PAUSED,SEARCH,Uncategorized
12455942305,Southwest Transitional | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,Pasture Seed
16806430755,Southwest Transitional | Performance Max | Pasture Seed,REMOVED,PERFORMANCE_MAX,Pasture Seed
16806373638,Southwest Transitional | Performance Max | Pasture Seed (dep),REMOVED,PERFORMANCE_MAX,Pasture Seed
17738427253,Southwest Transitional | Shopping,PAUSED,SHOPPING,Uncategorized
12455902686,Southwest Transitional | Shopping | Forage Mixes,REMOVED,SHOPPING,Pasture Seed
18022751403,Southwest Transitional | Shopping | Forage Mixes,PAUSED,SHOPPING,Pasture Seed
22092203667,Southwest | PMax | ROAS,PAUSED,PERFORMANCE_MAX,Uncategorized
196300414,Specialty Seed,REMOVED,SEARCH,Uncategorized
22092203676,Subtropic | PMax | Max Conv,PAUSED,PERFORMANCE_MAX,Uncategorized
9924046025,Target ROAS - 500% - California Wildflower Blend (S),REMOVED,SEARCH,Wildflowers
123765454,Texas - Generic,REMOVED,SEARCH,Uncategorized
123757894,Texas - Region in query,REMOVED,SEARCH,Uncategorized
171225574,Texas Grass Seed,REMOVED,SEARCH,Lawn Seed
81865654,Turf Blend,REMOVED,SEARCH,Lawn Seed
17879491811,US | DSA,PAUSED,SEARCH,Uncategorized
11807886896,US | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,Pasture Seed
12319589726,US | DSA | Grass Seed,REMOVED,SEARCH,Lawn Seed
11024785437,US | DSA | Pasture Seed,REMOVED,SEARCH,Pasture Seed
16359561246,US | DSA | Specialty Seed,REMOVED,SEARCH,Uncategorized
12319589729,US | DSA | Wildflower Seed,REMOVED,SEARCH,Wildflowers
15233962443,US | Display | RMK,PAUSED,DISPLAY,Uncategorized
16219169257,US | Performance Max | Forage Mixes,REMOVED,PERFORMANCE_MAX,Pasture Seed
9458605352,US | Search | Grass Seed,REMOVED,SEARCH,Lawn Seed
20699820704,US | Search | Microclover,PAUSED,SEARCH,Clover
20523297503,US | Search | Product Ads,PAUSED,SEARCH,Uncategorized
11038420983,US | Shopping | Catchall - Grass Seed,REMOVED,SHOPPING,Lawn Seed
11039637965,US | Shopping | Catchall - Pasture Seed,PAUSED,SHOPPING,Pasture Seed
16219790392,US | Shopping | Catchall - Specialty Seed,REMOVED,SHOPPING,Uncategorized
11039642318,US | Shopping | Catchall - Wildflower Seed,REMOVED,SHOPPING,Wildflowers
9869881867,US | Shopping | Clover,REMOVED,SHOPPING,Clover
9566372129,US | Shopping | Grass Seed,REMOVED,SHOPPING,Lawn Seed
11847572327,US | Shopping | Individual Products,REMOVED,SHOPPING,Uncategorized
20699820707,US | Shopping | Microclover,PAUSED,SHOPPING,Clover
14335855194,US | Smart Shopping | All Products,REMOVED,SHOPPING,Uncategorized
16009450799,US | Smart Shopping | Grass Seed,REMOVED,SHOPPING,Lawn Seed
15998784432,US | Smart Shopping | Pasture Seed,REMOVED,SHOPPING,Pasture Seed
81865534,Wildflower Seed (S) - US,REMOVED,SEARCH,Wildflowers
7781634207,Wildflower Seed - California - Winter (S),REMOVED,SEARCH,Wildflowers
7781634210,Wildflower Seed - Other States - Winter - (S),REMOVED,SEARCH,Wildflowers
7781031040,Wildflower Seeds - California - Winter (Shopping),REMOVED,SHOPPING,Wildflowers
7781031043,Wildflower Seeds - Other States - Winter (Shopping),REMOVED,SHOPPING,Wildflowers
