old_base_name,old_variant_count,old_variant_skus,total_revenue_q1q2,total_units_sold,unique_customer_count,new_sku,new_name,new_permalink,new_price,new_image,new_categories,mix_composition,match_score,bullet_1,bullet_2,bullet_3,bullet_4
White Clover Seeds,5,PG-TRRE-10-LB;PG-TRRE-50-LB;PG-TRRE-1-LB;ID:184549;PG-TRRE-5-LB-OLD,11887.58,306,186,PG-TRRE,White Clover Seed,https://naturesseed.com/products/clover-seed/white-clover/,34.99,https://naturesseed.com/wp-content/uploads/2025/09/White-Clover.png,"All Seed, Clover Seed, Cover Crop Seed, Pasture Seed, Specialty Seed",,50,"White clover ( Trifolium repens ) is one of the most valuable and versatile plants you can add to your pasture, lawn, or food plot.","Nitrogen-fixing legume that naturally enriches your soil while providing dense, attractive ground cover that crowds out weeds.",Key features: Nitrogen-Fixing | Lawn Alternative | Drought-Tolerant,
California Native Wildflower Mix,3,WB-CN-2000-F;WB-CN;WB-CALN-0.5-LB-OLD,11418.99,141,100,WB-CALN,California Native Wildflower Mix,https://naturesseed.com/products/wildflower-seed/california-native-wildflower-mix/,41.16,https://naturesseed.com/wp-content/uploads/2025/07/CANative_5.png,"All Seed, Native Wildflower Seed &amp; Seed Mixes, California Collection",,90,Bring California’s iconic spring bloom to your landscape.,A carefully curated wildflower selection featuring native species adapted to your region's climate and soil conditions.,"Native California species adapted to Mediterranean climate patterns — drought-tolerant once established, thriving on seasonal rainfall.",Key features: Colorful | California Native | Drought-Tolerant
Pacific Northwest Horse Forage Mix,2,PB-PNWH;PB-PNWH-10-LB,11297.56,54,37,PB-HRSE-N,Cool Season Horse Pasture Mix,https://naturesseed.com/products/pasture-seed/horse-pasture-mix-cold-season/,29.99,https://naturesseed.com/wp-content/uploads/2025/07/NHORSE-1.webp,"Pasture Seed, All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Horse Pasture Seed",Perennial Ryegrass 44%; Alfalfa 24%; Orchardgrass 20%; Timothy 7%; Kentucky Bluegrass 5%,100,"Scientifically balanced blend of Perennial Ryegrass (44%), Alfalfa (24%), Orchardgrass (20%), Timothy (7%) — each species chosen for complementary growth habits and root structures.","Formulated specifically for equine pastures — high palatability, safe for horses, and designed for heavy hoof traffic recovery.",Adapted for USDA zones 3-6 with cold-hardy species that establish quickly in cool soils and survive harsh winters.,Key features: All-Weather | Low Maintenance | Erosion Control
South-Atlantic Transitional Sheep Forage Mix,1,PB-SATS,11220.74,43,28,PB-SHEP-SO,Warm Season Sheep Pasture Mix,https://naturesseed.com/products/pasture-seed/sheep-pasture-forage-mix-warm-season/,69.99,https://naturesseed.com/wp-content/uploads/2025/07/SSHEEP.webp,"Sheep Pastures, All Seed, Southern US Pasture Seeds &amp; Seed Mixes, Pasture Seed",Forage Mix Tall Fescue 45%; Birdsfoot Trefoil 11%; Chicory 11%; Orchardgrass 11%; Perennial Ryegrass 9%; White Clover 6%; Kentucky Bluegrass 5%; Bermuda Grass 2%,100,"Scientifically balanced blend of Forage Mix Tall Fescue (45%), Birdsfoot Trefoil (11%), Chicory (11%), Orchardgrass (11%) — each species chosen for complementary growth habits and root structures.",Selected for sheep-friendly grazing with species that tolerate close cropping and recover quickly between rotations.,Selected for USDA zones 7-10 with heat-tolerant varieties that maintain productivity through hot summers and mild winters.,Key features: Drought Hardy | Low Maintenance | Erosion Control
Annual Wildflower Mix,4,WB-AN-500-F-OLD;WB-AN-2000-F-OLD;WB-AN-OLD;WB-AN-0.5-LB-OLD,10946.28,419,282,WB-AN,Annual Wildflower Seed Mix,https://naturesseed.com/products/wildflower-seed/annual-wildflower-mix/,29.99,https://naturesseed.com/wp-content/uploads/2025/07/Annual_5.png,"All Seed, Native Wildflower Seed &amp; Seed Mixes",,50,This annual wildflower seed mix offers a burst of colorful blooms across any region of the United States.,A carefully curated wildflower selection featuring native species adapted to your region's climate and soil conditions.,Key features: Quick Bloom | All-Season | Vibrant Mix,
Mid-West/Mid-Atlantic Horse Forage Mix,2,PB-MWH-2.5-A;PB-MWH,9549.5,30,21,PB-HRSE-TR,Transitional Zone Horse Pasture Mix,https://naturesseed.com/products/pasture-seed/horse-pasture-mix-transitional/,49.99,https://naturesseed.com/wp-content/uploads/2025/07/THORSE.webp,"Pasture Seed, All Seed, Transitional Zone Pasture Seeds &amp; Seed Mixes, Horse Pasture Seed",Meadow Bromegrass 45%; Tall Fescue 32%; Perennial Ryegrass 12%; Alfalfa 9%; Kentucky Bluegrass 2%,70,"Scientifically balanced blend of Meadow Bromegrass (45%), Tall Fescue (32%), Perennial Ryegrass (12%), Alfalfa (9%) — each species chosen for complementary growth habits and root structures.","Formulated specifically for equine pastures — high palatability, safe for horses, and designed for heavy hoof traffic recovery.",Versatile mix designed for the challenging transition zone (USDA zones 6-7) where both cool and warm-season species can thrive.,Key features: Drought Hardy | Cold Hardy | Low Maintenance
M-Binder Tackifier-Soil Stabilizer,1,S-TACKI-OLD,9261.81,76,32,S-TACKI,M-Binder Tackifier-Soil Stabilizer,https://naturesseed.com/products/planting-aids/m-binder-tackifier-soil-stabilizer/,119.99,https://naturesseed.com/wp-content/uploads/2025/07/m-binder-mulch-tackifier-soil-stabilizer_1.jpg,"All Seed, Planting Aids",,70,Key features: Organic | Non-Toxic | Erosion Ctrl,,,
Deer Resistant Wildflower Mix,2,WB-DR-2000-F-OLD;WB-DR-OLD,8857.38,276,220,WB-DR,Deer Resistant Wildflower Seed Mix,https://naturesseed.com/products/wildflower-seed/deer-resistant-wildflower-mix/,29.99,https://naturesseed.com/wp-content/uploads/2025/07/DeerR5-430x430-1.png,"All Seed, Native Wildflower Seed &amp; Seed Mixes",,90,A carefully curated wildflower selection featuring native species adapted to your region's climate and soil conditions.,Key features: Deer Resist | Season-Long | Annual + Perennials,,
California Habitat Mix,2,PB-CHM-1-LB-OLD;PB-CHM-10-LB-OLD,8758.77,83,56,CV-CHM,California Habitat Mix,https://naturesseed.com/products/grass-seed/california-habitat-mix/,323.53,https://naturesseed.com/wp-content/uploads/2025/07/habitat-mix.jpg,"All Seed, Specialty Seed, California Collection",California Native Habitat Mix California Brome 23%; Blue Wildrye 22%; California Barley 20%; Idaho Fescue 13%; Purple Needlegrass 13%; Sandberg Bluegrass 9%,50,"Scientifically balanced blend of California Native Habitat Mix California Brome (23%), Blue Wildrye (22%), California Barley (20%), Idaho Fescue (13%) — each species chosen for complementary growth habits and root structures.","Blue Wildrye 22% A versatile native grass tolerant of shade and various soil conditions; it establishes rapidly, provides effective erosion control on slopes, and offers important seed forage for birds and small mammals.","Native California species adapted to Mediterranean climate patterns — drought-tolerant once established, thriving on seasonal rainfall.",Key features: All Native | Wildlife | Drought Tolerance
Big Bluestem Grass Seed,3,PG-ANGE-10-LB;PG-ANGE-1-LB;PG-ANGE,8343.07,122,56,W-SIBE,Blue-Eyed Grass Seed,https://naturesseed.com/products/wildflower-seed/blue-eyed-grass/,50.58,https://naturesseed.com/wp-content/uploads/2025/09/Western-Blue-eyed-Grass.png,"All Seed, Native Wildflower Seed &amp; Seed Mixes, Specialty Seed, California Collection",,70,"This Blue Eyed Grass seed was collected in San Mateo County and grown at Hedgerow Farms in Yolo County, CA.","Blue-eyed Grass (Sisyrinchium bellum) is not a grass, but a charming perennial wildflower— actually an iris relative.","Native California species adapted to Mediterranean climate patterns — drought-tolerant once established, thriving on seasonal rainfall.",Key features: Caifornia Native | Pollinator-Friendly | Colorful
Mid-West/Mid-Atlantic Poultry Forage Mix,4,PB-MWPB;PB-MWPB-2.5-A;PB-MWPB-5000-F;PB-MWPB-1000-F,8156.45,128,112,PB-CHIX,Chicken Forage Seed Mix,https://naturesseed.com/products/pasture-seed/poultry-forage-mix/,19.99,https://naturesseed.com/wp-content/uploads/2025/07/POULTRY-1.webp,"Pasture Seed, All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes",Red Clover 19%; Common Flax 18%; Alfalfa 18%; Buckwheat 14%; Strawberry Clover 10%; Peas 10%; White Clover 6%; Crimson Clover 6%,70,"Scientifically balanced blend of Red Clover (19%), Common Flax (18%), Alfalfa (18%), Buckwheat (14%) — each species chosen for complementary growth habits and root structures.",Crafted for poultry foraging with nutrient-dense greens that support egg production and provide natural pest control in the run.,Adapted for USDA zones 3-6 with cold-hardy species that establish quickly in cool soils and survive harsh winters.,Key features: Protein-Packed | Omega-3 Rich | Drought Hardy
Intermountain West Dryland Pasture Mix,2,PB-IWD;PB-IWD-0.5-A,7847.37,45,28,PB-DRY,Dryland Pasture Mix,https://naturesseed.com/products/pasture-seed/dryland-pasture-mix/,50.99,https://naturesseed.com/wp-content/uploads/2025/12/DrylandPAsture.webp,,Drought-Tolerant Tall Fescue 30%; Intermediate Wheatgrass 25%; Crested Wheatgrass 20%; Drought-Resistant Orchardgrass 15%,80,"Scientifically balanced blend of Drought-Tolerant Tall Fescue (30%), Intermediate Wheatgrass (25%), Crested Wheatgrass (20%), Drought-Resistant Orchardgrass (15%) — each species chosen for complementary growth habits and root structures.",Purpose-built forage blend designed for productive grazing with species proven in real-world pasture conditions.,Key features: More Grazing From Every Drop | Grass Even When You Skip | Pasture That Fits Your,
Buffalograss,2,PG-BUDA-1-LB-OLD;PG-BUDA-10-LB-OLD,7405.59,104,69,LAWN-BUDA,Sundancer Buffalograss Lawn Seed,https://naturesseed.com/products/grass-seed/sundancer-buffalograss-seed/,116.99,https://naturesseed.com/wp-content/uploads/2025/11/buffallograss-Sundancer.png,"Lawn Seed, All Seed",,70,"Transform your lawn with Sundancer Buffalograss – a breakthrough warm-season turfgrass that delivers a lush, green lawn with up to 50–75% less water than traditional lawns.","Engineered for a dense, resilient lawn that handles foot traffic, recovers from wear, and stays green through seasonal changes.",Key features: Water Saving | No Mow | Warm-Season,
TWCA Water-Wise Northeast Grass Seed Mix,1,TURF-NE,7394.55,44,39,PB-CABIN,Native Cabin Grass Seed Mix,https://naturesseed.com/products/pasture-seed/native-cabin-grass-mix/,43.99,https://naturesseed.com/wp-content/uploads/2025/12/NativeCabinLawn.webp,"Food Plot Seed, Specialty Seed",,40,"Native Cabin Grass Mix is a low-mow, drought-tolerant seed blend designed to provide a soft, natural-looking lawn that fits seamlessly into rustic settings.","Perfect as a native lawn alternative around cabins, fire pits, and outdoor seating areas, it establishes quickly and stays compact with regular mowing.","Available now at $43.99 — ships direct to your door, ready for spring planting season.",
TWCA Water-Wise Bluegrass Blend,5,TURF-WBB-0.25-A;TURF-WBB;TURF-WBB-6-LB;TURF-WBB-2-LB;TURF-W-BLUE-5-LB-OLD,7091.18,52,36,TURF-W-BLUE-BUNDLE,Premium Pet & Kid Friendly Bluegrass Bundle,https://naturesseed.com/product/premium-pet-kid-friendly-bluegrass-bundle/,199.99,https://naturesseed.com/wp-content/uploads/2025/09/pet_bluegrass_bundle-1.png,All Seed,,70,"Give your family a lawn that’s soft, beautiful, and built to last.","The Premium Pet & Kid Friendly Bluegrass Bundle is designed for homeowners who want a safe, durable, and easy-to-grow lawn that can handle the wear and tear of kids, pets, and everyday play.",Key features: Pet & Kid Friendly | High Traffic | All-in-one Solution,
