source_category,source_category_group,source_category_customers,cross_sell_rank,target_category,target_category_group,cross_sell_rate_pct,recommended_product,product_purchases,product_revenue,recommendation_type
Southern Lawn,Lawn,17,2,Specialty Seed,Specialty,35.3,Jimmy's Blue Ribbon Premium Grass Seed Mix - 2000 ft²,152,29573.09,cross_sell
Southern Lawn,Lawn,17,2,Specialty Seed,Specialty,35.3,South-Atlantic Transitional Horse Forage Mix - 2.5 Acres,41,27135.56,cross_sell
Southern Lawn,Lawn,17,2,Specialty Seed,Specialty,35.3,Jimmy's Blue Ribbon Premium Grass Seed Mix - 1000 ft²,241,26431.46,cross_sell
Southern Lawn,Lawn,17,3,Clover Seed,Clover,17.6,White Dutch Clover Seeds - 1/4 Acre,131,26856.18,cross_sell
Southern Lawn,Lawn,17,3,Clover Seed,Clover,17.6,White Dutch Clover Seeds - 5000 ft²,258,21263.15,cross_sell
Southern Lawn,Lawn,17,3,Clover Seed,Clover,17.6,Micro Clover Seed - 1000 ft²,230,18077.82,cross_sell
TWCA - Water-Wise Lawn,Lawn,6,1,Northern Lawn,Lawn,100.0,Jimmy Lewis Blue Ribbon Bluegrass & Rye Lawn Seed Mix | TWCA Certified - 5 lbs,5,602.93,cross_sell
TWCA - Water-Wise Lawn,Lawn,6,1,Northern Lawn,Lawn,100.0,"Idaho Fescue - 1 lb, Northern California",2,453.76,cross_sell
TWCA - Water-Wise Lawn,Lawn,6,1,Northern Lawn,Lawn,100.0,"Small Fescue - 1 lb, Northern California",6,355.36,cross_sell
TWCA - Water-Wise Lawn,Lawn,6,2,Lawn Seed,Lawn,100.0,Triple-Play Turf Type Tall Fescue Seed Blend - 2000 ft²,139,27501.51,cross_sell
TWCA - Water-Wise Lawn,Lawn,6,2,Lawn Seed,Lawn,100.0,Kentucky Bluegrass Seed: Blue Ribbon Mix - 1/4 Acre,20,18068.51,cross_sell
TWCA - Water-Wise Lawn,Lawn,6,2,Lawn Seed,Lawn,100.0,Kentucky Bluegrass Seed: Blue Ribbon Mix - 5000 ft²,70,17343.64,cross_sell
TWCA - Water-Wise Lawn,Lawn,6,3,Specialty Seed,Specialty,33.3,Jimmy's Blue Ribbon Premium Grass Seed Mix - 2000 ft²,152,29573.09,cross_sell
TWCA - Water-Wise Lawn,Lawn,6,3,Specialty Seed,Specialty,33.3,South-Atlantic Transitional Horse Forage Mix - 2.5 Acres,41,27135.56,cross_sell
TWCA - Water-Wise Lawn,Lawn,6,3,Specialty Seed,Specialty,33.3,Jimmy's Blue Ribbon Premium Grass Seed Mix - 1000 ft²,241,26431.46,cross_sell
TWCA - Water-Wise Lawn,Lawn,6,4,Transitional Lawn,Lawn,16.7,Shade-Tolerant Water-Wise Northeast Lawn Mix |TWCA Certified - 5 lbs,1,99.98,cross_sell
Pasture Seed,Pasture,1621,1,Specialty Seed,Specialty,32.0,Jimmy's Blue Ribbon Premium Grass Seed Mix - 2000 ft²,152,29573.09,cross_sell
Pasture Seed,Pasture,1621,1,Specialty Seed,Specialty,32.0,South-Atlantic Transitional Horse Forage Mix - 2.5 Acres,41,27135.56,cross_sell
Pasture Seed,Pasture,1621,1,Specialty Seed,Specialty,32.0,Jimmy's Blue Ribbon Premium Grass Seed Mix - 1000 ft²,241,26431.46,cross_sell
Pasture Seed,Pasture,1621,2,Southern US Pasture,Pasture,23.9,"Cattle &amp; Dairy Cow Pasture Mix | Cold &amp; Warm Season - 50 lbs - 100,000 Sq. Ft.",47,15431.06,cross_sell
Pasture Seed,Pasture,1621,2,Southern US Pasture,Pasture,23.9,"Horse Pasture Mix | Warm Season - 50 lbs - 100,000 Sq. Ft.",35,13254.29,cross_sell
Pasture Seed,Pasture,1621,2,Southern US Pasture,Pasture,23.9,"Cattle &amp; Dairy Cow Pasture Mix for Warm Season - 50 lbs - 100,000 Sq. Ft.",19,8640.59,cross_sell
Pasture Seed,Pasture,1621,3,Horse Pasture,Pasture,18.6,"Horse Pasture Mix - Transitional - 50 lbs - 100,000 Sq. Ft.",38,19644.55,cross_sell
Pasture Seed,Pasture,1621,3,Horse Pasture,Pasture,18.6,"Horse Pasture Mix | Warm Season - 50 lbs - 100,000 Sq. Ft.",35,13254.29,cross_sell
Pasture Seed,Pasture,1621,3,Horse Pasture,Pasture,18.6,"Horse Pasture Mix | Cold Season - 50 lbs - 100,000 Sq. Ft.",45,12038.47,cross_sell
Pasture Seed,Pasture,1621,4,Goat Pasture,Pasture,15.4,"Goat Pasture &amp; Forage Mix - Transitional - 50 lbs - 100,000 Sq. Ft.",22,5942.23,cross_sell
Pasture Seed,Pasture,1621,4,Goat Pasture,Pasture,15.4,"Goat Pasture &amp; Forage Mix - Transitional - 20 Lbs - 40,000 Sq Ft",43,4863.76,cross_sell
Pasture Seed,Pasture,1621,4,Goat Pasture,Pasture,15.4,"Transitional Zone Goat Pasture &amp; Forage Mix - 20 lb - Covers 40,000 Sq Ft",15,1999.75,cross_sell
Pasture Seed,Pasture,1621,5,Sheep Pastures,Pasture,14.1,"Sheep Pasture &amp; Forage Mix - Transitional - 50 lbs - 100,000 Sq. Ft.",34,10447.42,cross_sell
Pasture Seed,Pasture,1621,5,Sheep Pastures,Pasture,14.1,"Transitional Zone Sheep Pasture Mix - 50 lb - Covers 100,000 Sq Ft",12,4767.7,cross_sell
Pasture Seed,Pasture,1621,5,Sheep Pastures,Pasture,14.1,"Sheep Pasture &amp; Forage Mix | Warm Season - 50 lbs - 100,000 Sq. Ft.",10,3958.36,cross_sell
Horse Pasture,Pasture,301,1,Pasture Seed,Pasture,100.0,"Horse Pasture Mix - Transitional - 50 lbs - 100,000 Sq. Ft.",38,19644.55,cross_sell
Horse Pasture,Pasture,301,1,Pasture Seed,Pasture,100.0,"Cattle &amp; Dairy Cow Pasture Mix | Cold &amp; Warm Season - 50 lbs - 100,000 Sq. Ft.",47,15431.06,cross_sell
Horse Pasture,Pasture,301,1,Pasture Seed,Pasture,100.0,"Horse Pasture Mix | Warm Season - 50 lbs - 100,000 Sq. Ft.",35,13254.29,cross_sell
Horse Pasture,Pasture,301,2,Southern US Pasture,Pasture,38.9,"Cattle &amp; Dairy Cow Pasture Mix | Cold &amp; Warm Season - 50 lbs - 100,000 Sq. Ft.",47,15431.06,cross_sell
Horse Pasture,Pasture,301,2,Southern US Pasture,Pasture,38.9,"Horse Pasture Mix | Warm Season - 50 lbs - 100,000 Sq. Ft.",35,13254.29,cross_sell
Horse Pasture,Pasture,301,2,Southern US Pasture,Pasture,38.9,"Cattle &amp; Dairy Cow Pasture Mix for Warm Season - 50 lbs - 100,000 Sq. Ft.",19,8640.59,cross_sell
Horse Pasture,Pasture,301,3,Specialty Seed,Specialty,29.2,Jimmy's Blue Ribbon Premium Grass Seed Mix - 2000 ft²,152,29573.09,cross_sell
Horse Pasture,Pasture,301,3,Specialty Seed,Specialty,29.2,South-Atlantic Transitional Horse Forage Mix - 2.5 Acres,41,27135.56,cross_sell
Horse Pasture,Pasture,301,3,Specialty Seed,Specialty,29.2,Jimmy's Blue Ribbon Premium Grass Seed Mix - 1000 ft²,241,26431.46,cross_sell
Horse Pasture,Pasture,301,4,Lawn Seed,Lawn,11.0,Triple-Play Turf Type Tall Fescue Seed Blend - 2000 ft²,139,27501.51,cross_sell
Horse Pasture,Pasture,301,4,Lawn Seed,Lawn,11.0,Kentucky Bluegrass Seed: Blue Ribbon Mix - 1/4 Acre,20,18068.51,cross_sell
Horse Pasture,Pasture,301,4,Lawn Seed,Lawn,11.0,Kentucky Bluegrass Seed: Blue Ribbon Mix - 5000 ft²,70,17343.64,cross_sell
Horse Pasture,Pasture,301,5,Clover Seed,Clover,8.0,White Dutch Clover Seeds - 1/4 Acre,131,26856.18,cross_sell
Horse Pasture,Pasture,301,5,Clover Seed,Clover,8.0,White Dutch Clover Seeds - 5000 ft²,258,21263.15,cross_sell
Horse Pasture,Pasture,301,5,Clover Seed,Clover,8.0,Micro Clover Seed - 1000 ft²,230,18077.82,cross_sell
Cattle Pasture,Pasture,197,1,Pasture Seed,Pasture,100.0,"Horse Pasture Mix - Transitional - 50 lbs - 100,000 Sq. Ft.",38,19644.55,cross_sell
Cattle Pasture,Pasture,197,1,Pasture Seed,Pasture,100.0,"Cattle &amp; Dairy Cow Pasture Mix | Cold &amp; Warm Season - 50 lbs - 100,000 Sq. Ft.",47,15431.06,cross_sell
Cattle Pasture,Pasture,197,1,Pasture Seed,Pasture,100.0,"Horse Pasture Mix | Warm Season - 50 lbs - 100,000 Sq. Ft.",35,13254.29,cross_sell
Cattle Pasture,Pasture,197,2,Southern US Pasture,Pasture,76.6,"Cattle &amp; Dairy Cow Pasture Mix | Cold &amp; Warm Season - 50 lbs - 100,000 Sq. Ft.",47,15431.06,cross_sell
Cattle Pasture,Pasture,197,2,Southern US Pasture,Pasture,76.6,"Horse Pasture Mix | Warm Season - 50 lbs - 100,000 Sq. Ft.",35,13254.29,cross_sell
Cattle Pasture,Pasture,197,2,Southern US Pasture,Pasture,76.6,"Cattle &amp; Dairy Cow Pasture Mix for Warm Season - 50 lbs - 100,000 Sq. Ft.",19,8640.59,cross_sell
Cattle Pasture,Pasture,197,3,Northern US Pasture,Pasture,26.9,"Cool Season Cattle Pasture Seed Mix - 50 lb - Covers 100,000 Sq Ft",24,5743.64,cross_sell
Cattle Pasture,Pasture,197,3,Northern US Pasture,Pasture,26.9,"Cool Season Cattle Pasture Seed Mix - 20 lb - Covers 40,000 Sq Ft",17,3702.47,cross_sell
Cattle Pasture,Pasture,197,3,Northern US Pasture,Pasture,26.9,"Cool Season Cattle Pasture Seed Mix - 50 lbs - 100,000 Sq. Ft.",4,3183.8,cross_sell
Cattle Pasture,Pasture,197,4,Specialty Seed,Specialty,20.8,Jimmy's Blue Ribbon Premium Grass Seed Mix - 2000 ft²,152,29573.09,cross_sell
Cattle Pasture,Pasture,197,4,Specialty Seed,Specialty,20.8,South-Atlantic Transitional Horse Forage Mix - 2.5 Acres,41,27135.56,cross_sell
Cattle Pasture,Pasture,197,4,Specialty Seed,Specialty,20.8,Jimmy's Blue Ribbon Premium Grass Seed Mix - 1000 ft²,241,26431.46,cross_sell
Cattle Pasture,Pasture,197,5,Clover Seed,Clover,8.6,White Dutch Clover Seeds - 1/4 Acre,131,26856.18,cross_sell
Cattle Pasture,Pasture,197,5,Clover Seed,Clover,8.6,White Dutch Clover Seeds - 5000 ft²,258,21263.15,cross_sell
Cattle Pasture,Pasture,197,5,Clover Seed,Clover,8.6,Micro Clover Seed - 1000 ft²,230,18077.82,cross_sell
Goat Pasture,Pasture,250,1,Pasture Seed,Pasture,100.0,"Horse Pasture Mix - Transitional - 50 lbs - 100,000 Sq. Ft.",38,19644.55,cross_sell
Goat Pasture,Pasture,250,1,Pasture Seed,Pasture,100.0,"Cattle &amp; Dairy Cow Pasture Mix | Cold &amp; Warm Season - 50 lbs - 100,000 Sq. Ft.",47,15431.06,cross_sell
Goat Pasture,Pasture,250,1,Pasture Seed,Pasture,100.0,"Horse Pasture Mix | Warm Season - 50 lbs - 100,000 Sq. Ft.",35,13254.29,cross_sell
Goat Pasture,Pasture,250,2,Specialty Seed,Specialty,31.2,Jimmy's Blue Ribbon Premium Grass Seed Mix - 2000 ft²,152,29573.09,cross_sell
Goat Pasture,Pasture,250,2,Specialty Seed,Specialty,31.2,South-Atlantic Transitional Horse Forage Mix - 2.5 Acres,41,27135.56,cross_sell
Goat Pasture,Pasture,250,2,Specialty Seed,Specialty,31.2,Jimmy's Blue Ribbon Premium Grass Seed Mix - 1000 ft²,241,26431.46,cross_sell
Goat Pasture,Pasture,250,3,Southern US Pasture,Pasture,29.2,"Cattle &amp; Dairy Cow Pasture Mix | Cold &amp; Warm Season - 50 lbs - 100,000 Sq. Ft.",47,15431.06,cross_sell
Goat Pasture,Pasture,250,3,Southern US Pasture,Pasture,29.2,"Horse Pasture Mix | Warm Season - 50 lbs - 100,000 Sq. Ft.",35,13254.29,cross_sell
Goat Pasture,Pasture,250,3,Southern US Pasture,Pasture,29.2,"Cattle &amp; Dairy Cow Pasture Mix for Warm Season - 50 lbs - 100,000 Sq. Ft.",19,8640.59,cross_sell
Goat Pasture,Pasture,250,4,Clover Seed,Clover,8.8,White Dutch Clover Seeds - 1/4 Acre,131,26856.18,cross_sell
Goat Pasture,Pasture,250,4,Clover Seed,Clover,8.8,White Dutch Clover Seeds - 5000 ft²,258,21263.15,cross_sell
Goat Pasture,Pasture,250,4,Clover Seed,Clover,8.8,Micro Clover Seed - 1000 ft²,230,18077.82,cross_sell
Goat Pasture,Pasture,250,5,Northern US Pasture,Pasture,8.8,"Cool Season Cattle Pasture Seed Mix - 50 lb - Covers 100,000 Sq Ft",24,5743.64,cross_sell
Goat Pasture,Pasture,250,5,Northern US Pasture,Pasture,8.8,"Cool Season Cattle Pasture Seed Mix - 20 lb - Covers 40,000 Sq Ft",17,3702.47,cross_sell
Goat Pasture,Pasture,250,5,Northern US Pasture,Pasture,8.8,"Cool Season Cattle Pasture Seed Mix - 50 lbs - 100,000 Sq. Ft.",4,3183.8,cross_sell
Sheep Pastures,Pasture,228,1,Pasture Seed,Pasture,100.0,"Horse Pasture Mix - Transitional - 50 lbs - 100,000 Sq. Ft.",38,19644.55,cross_sell
Sheep Pastures,Pasture,228,1,Pasture Seed,Pasture,100.0,"Cattle &amp; Dairy Cow Pasture Mix | Cold &amp; Warm Season - 50 lbs - 100,000 Sq. Ft.",47,15431.06,cross_sell
Sheep Pastures,Pasture,228,1,Pasture Seed,Pasture,100.0,"Horse Pasture Mix | Warm Season - 50 lbs - 100,000 Sq. Ft.",35,13254.29,cross_sell
Sheep Pastures,Pasture,228,2,Specialty Seed,Specialty,34.6,Jimmy's Blue Ribbon Premium Grass Seed Mix - 2000 ft²,152,29573.09,cross_sell
Sheep Pastures,Pasture,228,2,Specialty Seed,Specialty,34.6,South-Atlantic Transitional Horse Forage Mix - 2.5 Acres,41,27135.56,cross_sell
Sheep Pastures,Pasture,228,2,Specialty Seed,Specialty,34.6,Jimmy's Blue Ribbon Premium Grass Seed Mix - 1000 ft²,241,26431.46,cross_sell
Sheep Pastures,Pasture,228,3,Southern US Pasture,Pasture,28.1,"Cattle &amp; Dairy Cow Pasture Mix | Cold &amp; Warm Season - 50 lbs - 100,000 Sq. Ft.",47,15431.06,cross_sell
Sheep Pastures,Pasture,228,3,Southern US Pasture,Pasture,28.1,"Horse Pasture Mix | Warm Season - 50 lbs - 100,000 Sq. Ft.",35,13254.29,cross_sell
Sheep Pastures,Pasture,228,3,Southern US Pasture,Pasture,28.1,"Cattle &amp; Dairy Cow Pasture Mix for Warm Season - 50 lbs - 100,000 Sq. Ft.",19,8640.59,cross_sell
Sheep Pastures,Pasture,228,4,Clover Seed,Clover,8.8,White Dutch Clover Seeds - 1/4 Acre,131,26856.18,cross_sell
Sheep Pastures,Pasture,228,4,Clover Seed,Clover,8.8,White Dutch Clover Seeds - 5000 ft²,258,21263.15,cross_sell
Sheep Pastures,Pasture,228,4,Clover Seed,Clover,8.8,Micro Clover Seed - 1000 ft²,230,18077.82,cross_sell
Sheep Pastures,Pasture,228,5,Northern US Pasture,Pasture,8.8,"Cool Season Cattle Pasture Seed Mix - 50 lb - Covers 100,000 Sq Ft",24,5743.64,cross_sell
Sheep Pastures,Pasture,228,5,Northern US Pasture,Pasture,8.8,"Cool Season Cattle Pasture Seed Mix - 20 lb - Covers 40,000 Sq Ft",17,3702.47,cross_sell
Sheep Pastures,Pasture,228,5,Northern US Pasture,Pasture,8.8,"Cool Season Cattle Pasture Seed Mix - 50 lbs - 100,000 Sq. Ft.",4,3183.8,cross_sell
Northern US Pasture,Pasture,108,1,Pasture Seed,Pasture,100.0,"Horse Pasture Mix - Transitional - 50 lbs - 100,000 Sq. Ft.",38,19644.55,cross_sell
Northern US Pasture,Pasture,108,1,Pasture Seed,Pasture,100.0,"Cattle &amp; Dairy Cow Pasture Mix | Cold &amp; Warm Season - 50 lbs - 100,000 Sq. Ft.",47,15431.06,cross_sell
Northern US Pasture,Pasture,108,1,Pasture Seed,Pasture,100.0,"Horse Pasture Mix | Warm Season - 50 lbs - 100,000 Sq. Ft.",35,13254.29,cross_sell
Northern US Pasture,Pasture,108,2,Cattle Pasture,Pasture,49.1,"Cattle &amp; Dairy Cow Pasture Mix | Cold &amp; Warm Season - 50 lbs - 100,000 Sq. Ft.",47,15431.06,cross_sell
Northern US Pasture,Pasture,108,2,Cattle Pasture,Pasture,49.1,"Cattle &amp; Dairy Cow Pasture Mix for Warm Season - 50 lbs - 100,000 Sq. Ft.",19,8640.59,cross_sell
Northern US Pasture,Pasture,108,2,Cattle Pasture,Pasture,49.1,"Warm Season Cattle Pasture Seed Mix - 50 lb - Covers 100,000 Sq Ft",26,8143.49,cross_sell
Northern US Pasture,Pasture,108,3,Specialty Seed,Specialty,37.0,Jimmy's Blue Ribbon Premium Grass Seed Mix - 2000 ft²,152,29573.09,cross_sell
Northern US Pasture,Pasture,108,3,Specialty Seed,Specialty,37.0,South-Atlantic Transitional Horse Forage Mix - 2.5 Acres,41,27135.56,cross_sell
Northern US Pasture,Pasture,108,3,Specialty Seed,Specialty,37.0,Jimmy's Blue Ribbon Premium Grass Seed Mix - 1000 ft²,241,26431.46,cross_sell
Northern US Pasture,Pasture,108,4,Goat Pasture,Pasture,20.4,"Goat Pasture &amp; Forage Mix - Transitional - 50 lbs - 100,000 Sq. Ft.",22,5942.23,cross_sell
Northern US Pasture,Pasture,108,4,Goat Pasture,Pasture,20.4,"Goat Pasture &amp; Forage Mix - Transitional - 20 Lbs - 40,000 Sq Ft",43,4863.76,cross_sell
Northern US Pasture,Pasture,108,4,Goat Pasture,Pasture,20.4,"Transitional Zone Goat Pasture &amp; Forage Mix - 20 lb - Covers 40,000 Sq Ft",15,1999.75,cross_sell
Northern US Pasture,Pasture,108,5,Horse Pasture,Pasture,19.4,"Horse Pasture Mix - Transitional - 50 lbs - 100,000 Sq. Ft.",38,19644.55,cross_sell
Northern US Pasture,Pasture,108,5,Horse Pasture,Pasture,19.4,"Horse Pasture Mix | Warm Season - 50 lbs - 100,000 Sq. Ft.",35,13254.29,cross_sell
Northern US Pasture,Pasture,108,5,Horse Pasture,Pasture,19.4,"Horse Pasture Mix | Cold Season - 50 lbs - 100,000 Sq. Ft.",45,12038.47,cross_sell
Southern US Pasture,Pasture,388,1,Pasture Seed,Pasture,100.0,"Horse Pasture Mix - Transitional - 50 lbs - 100,000 Sq. Ft.",38,19644.55,cross_sell
Southern US Pasture,Pasture,388,1,Pasture Seed,Pasture,100.0,"Cattle &amp; Dairy Cow Pasture Mix | Cold &amp; Warm Season - 50 lbs - 100,000 Sq. Ft.",47,15431.06,cross_sell
Southern US Pasture,Pasture,388,1,Pasture Seed,Pasture,100.0,"Horse Pasture Mix | Warm Season - 50 lbs - 100,000 Sq. Ft.",35,13254.29,cross_sell
Southern US Pasture,Pasture,388,2,Cattle Pasture,Pasture,38.9,"Cattle &amp; Dairy Cow Pasture Mix | Cold &amp; Warm Season - 50 lbs - 100,000 Sq. Ft.",47,15431.06,cross_sell
Southern US Pasture,Pasture,388,2,Cattle Pasture,Pasture,38.9,"Cattle &amp; Dairy Cow Pasture Mix for Warm Season - 50 lbs - 100,000 Sq. Ft.",19,8640.59,cross_sell
Southern US Pasture,Pasture,388,2,Cattle Pasture,Pasture,38.9,"Warm Season Cattle Pasture Seed Mix - 50 lb - Covers 100,000 Sq Ft",26,8143.49,cross_sell
Southern US Pasture,Pasture,388,3,Horse Pasture,Pasture,30.2,"Horse Pasture Mix - Transitional - 50 lbs - 100,000 Sq. Ft.",38,19644.55,cross_sell
Southern US Pasture,Pasture,388,3,Horse Pasture,Pasture,30.2,"Horse Pasture Mix | Warm Season - 50 lbs - 100,000 Sq. Ft.",35,13254.29,cross_sell
Southern US Pasture,Pasture,388,3,Horse Pasture,Pasture,30.2,"Horse Pasture Mix | Cold Season - 50 lbs - 100,000 Sq. Ft.",45,12038.47,cross_sell
Southern US Pasture,Pasture,388,4,Specialty Seed,Specialty,28.6,Jimmy's Blue Ribbon Premium Grass Seed Mix - 2000 ft²,152,29573.09,cross_sell
Southern US Pasture,Pasture,388,4,Specialty Seed,Specialty,28.6,South-Atlantic Transitional Horse Forage Mix - 2.5 Acres,41,27135.56,cross_sell
Southern US Pasture,Pasture,388,4,Specialty Seed,Specialty,28.6,Jimmy's Blue Ribbon Premium Grass Seed Mix - 1000 ft²,241,26431.46,cross_sell
Southern US Pasture,Pasture,388,5,Goat Pasture,Pasture,18.8,"Goat Pasture &amp; Forage Mix - Transitional - 50 lbs - 100,000 Sq. Ft.",22,5942.23,cross_sell
Southern US Pasture,Pasture,388,5,Goat Pasture,Pasture,18.8,"Goat Pasture &amp; Forage Mix - Transitional - 20 Lbs - 40,000 Sq Ft",43,4863.76,cross_sell
Southern US Pasture,Pasture,388,5,Goat Pasture,Pasture,18.8,"Transitional Zone Goat Pasture &amp; Forage Mix - 20 lb - Covers 40,000 Sq Ft",15,1999.75,cross_sell
Native Wildflower Seed,Wildflower,2260,1,Specialty Seed,Specialty,42.6,Jimmy's Blue Ribbon Premium Grass Seed Mix - 2000 ft²,152,29573.09,cross_sell
Native Wildflower Seed,Wildflower,2260,1,Specialty Seed,Specialty,42.6,South-Atlantic Transitional Horse Forage Mix - 2.5 Acres,41,27135.56,cross_sell
Native Wildflower Seed,Wildflower,2260,1,Specialty Seed,Specialty,42.6,Jimmy's Blue Ribbon Premium Grass Seed Mix - 1000 ft²,241,26431.46,cross_sell
Native Wildflower Seed,Wildflower,2260,2,California Collection,California,36.2,California Native Wildflower Mix - 2000 ft²,183,21998.64,cross_sell
Native Wildflower Seed,Wildflower,2260,2,California Collection,California,36.2,California Habitat Mix - 1 lbs,105,11258.87,cross_sell
Native Wildflower Seed,Wildflower,2260,2,California Collection,California,36.2,California Habitat Mix - 10 lbs,11,11143.65,cross_sell
Native Wildflower Seed,Wildflower,2260,3,Lawn Seed,Lawn,18.5,Triple-Play Turf Type Tall Fescue Seed Blend - 2000 ft²,139,27501.51,cross_sell
Native Wildflower Seed,Wildflower,2260,3,Lawn Seed,Lawn,18.5,Kentucky Bluegrass Seed: Blue Ribbon Mix - 1/4 Acre,20,18068.51,cross_sell
Native Wildflower Seed,Wildflower,2260,3,Lawn Seed,Lawn,18.5,Kentucky Bluegrass Seed: Blue Ribbon Mix - 5000 ft²,70,17343.64,cross_sell
Native Wildflower Seed,Wildflower,2260,4,Clover Seed,Clover,14.4,White Dutch Clover Seeds - 1/4 Acre,131,26856.18,cross_sell
