search_term,total_spend,total_clicks,total_conversions,total_conv_value,roas,recommended_action
chicory seed,59.79,127,1.23,32.96,0.55,Review / consider negative
mini clover seeds,59.49,29,1.0,37.55,0.63,Review / consider negative
turf grass seed,59.13,16,0.0,0.0,0.0,Review / consider negative
cattle grass seed,58.85,54,0.0,0.0,0.0,Review / consider negative
zoysia grass seeds,58.08,17,0.0,0.0,0.0,Review / consider negative
clover ground cover seeds,57.57,21,1.0,29.76,0.52,Review / consider negative
bluestem grass seed,57.36,84,0.02,8.48,0.15,Review / consider negative
big bluestem seeds,57.08,53,0.0,0.0,0.0,Review / consider negative
white clover seeds for sale,57.06,35,1.25,7.34,0.13,Review / consider negative
organic kentucky bluegrass seed,56.63,22,1.0,42.14,0.74,Review / consider negative
alsike clover seed,56.62,75,0.95,42.04,0.74,Review / consider negative
pacific northwest pasture seed,55.97,31,1.0,22.61,0.4,Review / consider negative
best place to buy seeds online,55.82,15,0.0,0.0,0.0,Review / consider negative
warm season grass seed,55.61,44,0.0,0.0,0.0,Review / consider negative
gardening seeds,55.6,56,0.0,0.0,0.0,Review / consider negative
myseeds best,55.08,58,0.0,0.0,0.0,Review / consider negative
best cattle pasture mix,54.85,45,1.0,46.85,0.85,Review / consider negative
sainfoin seed for sale,54.17,58,1.0,32.27,0.6,Review / consider negative
california native grass seeds,54.11,18,4.0,52.31,0.97,Review / consider negative
drought resistant grass,54.0,62,0.0,0.0,0.0,Review / consider negative
perennial wildflower seeds,53.93,26,0.0,0.0,0.0,Review / consider negative
annual ryegrass seed,53.5,46,0.0,0.0,0.0,Review / consider negative
texas pasture seed mix,53.16,39,0.0,0.0,0.0,Review / consider negative
rye grass,52.93,110,0.0,0.0,0.0,Review / consider negative
pasture grass for horses,52.82,49,0.0,0.0,0.0,Review / consider negative
cereal rye seed for sale,52.82,73,1.0,1.0,0.02,Review / consider negative
dry land pasture seed mix,52.15,12,0.0,0.0,0.0,Review / consider negative
golf course grass seed,52.09,30,0.0,0.0,0.0,Review / consider negative
boston seeds,52.04,13,0.0,0.0,0.0,Review / consider negative
best grass seed for southern california,51.88,32,1.0,48.9,0.94,Review / consider negative
pasture blend grass seed,51.61,33,0.0,0.0,0.0,Review / consider negative
buy seeds,51.48,13,0.0,0.0,0.0,Review / consider negative
alfalfa grass seed,51.44,80,0.0,0.0,0.0,Review / consider negative
miniclover,51.4,32,1.0,43.98,0.86,Review / consider negative
perennial rye grass,51.32,46,0.0,0.0,0.0,Review / consider negative
createdbynature plant,51.21,16,0.0,0.0,0.0,Review / consider negative
buy grass seed online,50.96,25,0.0,0.0,0.0,Review / consider negative
fall pasture seed mix,50.96,31,0.0,0.0,0.0,Review / consider negative
alfalfa pasture seed,50.78,30,0.0,0.0,0.0,Review / consider negative
drought resistant grass seed,49.89,40,0.0,0.0,0.0,Review / consider negative
winter pasture seed mix for cattle,49.76,61,0.0,0.0,0.0,Review / consider negative
pasture seed mix for beef cattle,49.5,62,0.0,0.0,0.0,Review / consider negative
best grass for cattle,49.45,60,0.0,0.0,0.0,Review / consider negative
best grass seed for pacific northwest,49.38,54,1.0,40.34,0.82,Review / consider negative
american meadows wildflower seeds,49.35,9,0.0,0.0,0.0,Review / consider negative
best cover crop for chickens,49.31,29,1.0,28.1,0.57,Review / consider negative
seeds for pasture,49.15,19,0.0,0.0,0.0,Review / consider negative
nature jims sprouts,48.96,11,0.0,0.0,0.0,Review / consider negative
miniclover seeds,48.94,26,0.0,0.0,0.0,Review / consider negative
native wildflower seeds california,48.9,14,1.0,40.31,0.82,Review / consider negative
poppy seeds,48.85,47,1.0,18.61,0.38,Review / consider negative
kentucky blue grass seed,48.64,36,2.0,23.94,0.49,Review / consider negative
best grass seed for horses,48.62,45,0.0,0.0,0.0,Review / consider negative
mini clover lawn,47.59,48,0.0,0.0,0.0,Review / consider negative
bulk orchard grass seed,47.46,32,0.0,0.0,0.0,Review / consider negative
micro clover lawn seed,47.24,21,0.0,0.0,0.0,Review / consider negative
horse forage seed,47.13,33,0.0,0.0,0.0,Review / consider negative
best seed mix for horse pasture,47.13,18,0.0,0.0,0.0,Review / consider negative
triticale seed,47.02,98,1.0,26.98,0.57,Review / consider negative
grass seed for florida,46.95,36,0.0,0.0,0.0,Review / consider negative
nature's eats cranberry seeds,46.93,8,0.0,0.0,0.0,Review / consider negative
american meadows microclover,46.78,16,1.0,1.0,0.02,Review / consider negative
chicory seed for sale,46.55,42,2.0,2.0,0.04,Review / consider negative
kentucky bluegrass seed 100 lbs,46.49,35,0.0,0.0,0.0,Review / consider negative
bermuda grass seeds,46.41,58,1.0,38.0,0.82,Review / consider negative
microclover lawn,46.3,45,0.0,0.0,0.0,Review / consider negative
creeping thyme seeds bulk,46.14,33,0.01,0.16,0.0,Review / consider negative
crabgrass seed,46.09,49,0.0,0.0,0.0,Review / consider negative
pasture mix for goats,46.04,67,1.2,16.76,0.36,Review / consider negative
johnny seed,45.94,5,0.0,0.0,0.0,Review / consider negative
common bermuda grass seed,45.74,49,0.0,0.0,0.0,Review / consider negative
organic chicken feed,45.72,48,0.0,0.0,0.0,Review / consider negative
erosion control blanket,45.26,44,0.01,0.44,0.01,Review / consider negative
perennial ryegrass seed for sale,44.87,47,0.0,0.0,0.0,Review / consider negative
cover crops for chickens,44.75,43,0.01,0.01,0.0,Review / consider negative
california wildflower mix,44.51,29,0.1,3.0,0.07,Review / consider negative
winter grass seed,44.16,42,0.02,3.34,0.08,Review / consider negative
livestock grass seed,44.11,32,0.0,0.0,0.0,Review / consider negative
buy grass seed,44.05,29,0.0,0.0,0.0,Review / consider negative
outside pride seed,43.52,11,0.0,0.0,0.0,Review / consider negative
firecracker penstemon,43.23,216,1.0,13.95,0.32,Review / consider negative
seed for pasture,43.18,30,0.51,1.46,0.03,Review / consider negative
sweetgrass seeds,43.17,30,0.0,0.0,0.0,Review / consider negative
buffalograss,43.12,62,0.0,0.0,0.0,Review / consider negative
drought tolerant grass seed,43.08,35,0.0,0.0,0.0,Review / consider negative
clover seed for pasture,42.89,30,1.83,34.35,0.8,Review / consider negative
grass seed near me,42.66,24,0.0,0.0,0.0,Review / consider negative
no mow grass seed,42.55,21,0.0,0.0,0.0,Review / consider negative
erosion control blanket with seed,42.4,36,0.0,0.0,0.0,Review / consider negative
bluestem grass,42.31,45,0.0,0.0,0.0,Review / consider negative
great basin seeds,42.22,10,0.0,0.0,0.0,Review / consider negative
ryegrass,42.19,79,0.0,0.55,0.01,Review / consider negative
pasture mix for chickens,42.18,38,0.11,6.11,0.14,Review / consider negative
hancock seeds,42.07,9,0.5,5.68,0.14,Review / consider negative
best place to buy seeds,42.04,9,0.0,0.0,0.0,Review / consider negative
seed mix for chickens,42.02,36,1.0,26.81,0.64,Review / consider negative
clover,42.0,81,0.0,0.0,0.0,Review / consider negative
best forage for sheep,41.91,42,0.0,0.31,0.01,Review / consider negative
fine fescue mix,41.8,29,0.0,0.0,0.0,Review / consider negative
sideoats grama seed,41.72,52,0.22,17.28,0.41,Review / consider negative
johnny's seeds,41.26,9,0.49,18.62,0.45,Review / consider negative
california grass seed,41.14,17,0.0,0.0,0.0,Review / consider negative
arrowleaf clover seed,40.83,25,0.0,0.0,0.0,Review / consider negative
dairy cow pasture seed,40.8,32,0.0,0.0,0.0,Review / consider negative
tall fescue grass,40.55,222,0.0,0.0,0.0,Review / consider negative
clover grass,40.47,107,0.0,0.0,0.0,Review / consider negative
arrowleaf clover,40.4,49,0.0,0.0,0.0,Review / consider negative
grama grass seed,40.15,20,0.0,0.0,0.0,Review / consider negative
best grass seed for chickens,40.1,33,1.0,26.86,0.67,Review / consider negative
nature's finest sunny area grass seed,40.08,5,0.0,0.0,0.0,Review / consider negative
best bermuda grass seed,40.06,32,0.0,0.0,0.0,Review / consider negative
equine forage seed,39.96,32,0.0,0.0,0.0,Review / consider negative
best seed for pasture,39.59,33,0.0,0.0,0.0,Review / consider negative
best horse grass seed,39.42,28,0.0,0.0,0.0,Review / consider negative
bulk cover crop seed,39.33,18,0.05,28.73,0.73,Review / consider negative
baker seeds,39.27,8,0.0,0.0,0.0,Review / consider negative
grass seed for southern lawns,39.03,18,0.0,0.0,0.0,Review / consider negative
northeast seed mix,39.02,3,1.0,1.0,0.03,Review / consider negative
prairie moon seeds,39.01,12,0.0,0.0,0.0,Review / consider negative
bulk clover seed for sale,38.88,19,0.0,0.0,0.0,Review / consider negative
new mexico native grass seed,38.75,26,0.0,0.0,0.0,Review / consider negative
best grass seed for maryland,38.73,39,1.0,30.32,0.78,Review / consider negative
equine pasture mix,38.53,23,0.0,0.0,0.0,Review / consider negative
dwarf fescue grass seed,38.41,36,2.0,20.56,0.54,Review / consider negative
chicken grass,38.3,30,0.0,0.0,0.0,Review / consider negative
drought resistant pasture grass,38.05,53,0.0,0.0,0.0,Review / consider negative
blue eyed grass,37.95,69,1.0,1.0,0.03,Review / consider negative
online grass seed,37.77,16,0.0,0.0,0.0,Review / consider negative
arizona wildflower seeds,37.71,34,0.0,0.0,0.0,Review / consider negative
st augustine grass seed,37.68,84,0.0,0.0,0.0,Review / consider negative
hay seed mix for beef cattle,37.65,55,2.0,2.0,0.05,Review / consider negative
dutch clover seeds,37.56,27,0.0,0.0,0.0,Review / consider negative
bulk seeds,37.55,32,0.0,0.0,0.0,Review / consider negative
bulk white clover seed,37.48,36,1.0,22.23,0.59,Review / consider negative
seed mix,37.46,12,0.0,0.0,0.0,Review / consider negative
best micro clover seed,37.35,12,0.0,0.0,0.0,Review / consider negative
switch grass seeds,37.33,70,0.0,0.0,0.0,Review / consider negative
prairie dropseed,37.33,45,0.0,0.0,0.0,Review / consider negative
microclover seed for sale,37.31,5,0.0,0.0,0.0,Review / consider negative
fescue penkoted grass seed,37.19,24,0.0,0.0,0.0,Review / consider negative
native prairie seed mix,37.18,23,1.0,18.77,0.5,Review / consider negative
premium quality grass seed,37.16,21,0.0,0.0,0.0,Review / consider negative
pasture hay seed mix,37.08,23,0.0,0.0,0.0,Review / consider negative
mycorrhizae,36.95,17,0.0,0.0,0.0,Review / consider negative
best seeds for chicken fodder,36.83,25,1.49,16.99,0.46,Review / consider negative
nasturtium flowers,36.83,3,0.0,0.0,0.0,Review / consider negative
clover lawn seed mix,36.57,17,0.0,0.0,0.0,Review / consider negative
seed world,36.36,13,0.0,0.0,0.0,Review / consider negative
south texas native grass seed mix,36.2,16,0.0,0.0,0.0,Review / consider negative
lawn seeds,36.17,20,0.0,0.0,0.0,Review / consider negative
winter rye,36.03,54,0.0,0.0,0.0,Review / consider negative
pennsylvania sedge seeds,35.95,33,0.0,0.0,0.0,Review / consider negative
field peas,35.88,65,0.0,0.0,0.0,Review / consider negative
palisades zoysia seed,35.87,40,0.0,0.0,0.0,Review / consider negative
pasture seed horses,35.8,13,0.09,15.26,0.43,Review / consider negative
horse pasture grass,35.7,29,0.0,0.0,0.0,Review / consider negative
grass seed safe for chickens,35.68,18,0.0,0.0,0.0,Review / consider negative
trifolium repens,35.6,56,1.02,30.36,0.85,Review / consider negative
grower feed,35.51,1,0.0,0.0,0.0,Review / consider negative
microclover seeds for lawn,35.16,12,0.0,0.0,0.0,Review / consider negative
bentgrass seed,35.07,27,0.0,0.0,0.0,Review / consider negative
organic pasture mix,35.03,11,0.0,0.0,0.0,Review / consider negative
sweet clover seed,35.02,44,0.0,0.0,0.0,Review / consider negative
regenerative pasture seed mix,35.01,23,0.0,0.0,0.0,Review / consider negative
cover crop seed,34.97,26,0.0,0.0,0.0,Review / consider negative
best seed for hay field,34.97,38,1.0,1.0,0.03,Review / consider negative
fast growing grass for chickens,34.97,27,0.0,0.0,0.0,Review / consider negative
natures gift seed,34.93,2,0.0,0.0,0.0,Review / consider negative
bluestem seed,34.8,45,0.0,0.0,0.0,Review / consider negative
equine seed mix,34.74,14,0.0,0.0,0.0,Review / consider negative
grass and clover seed mix,34.69,28,0.13,3.62,0.1,Review / consider negative
best pasture for goats,34.67,51,0.0,0.0,0.0,Review / consider negative
quality grass seed,34.53,27,0.0,0.0,0.0,Review / consider negative
dryland pasture grass seed,34.29,44,1.0,1.0,0.03,Review / consider negative
bahia grass seed for sale,34.2,28,0.0,0.0,0.0,Review / consider negative
dryland alfalfa seed,34.2,55,0.0,0.0,0.0,Review / consider negative
florida grass seed,34.19,29,0.0,0.0,0.0,Review / consider negative
best horse hay seed mixture,34.11,35,0.0,0.0,0.0,Review / consider negative
pasture perfect seed,33.82,21,0.0,0.0,0.0,Review / consider negative
seeds organic,33.66,2,0.0,0.0,0.0,Review / consider negative
grass seeds for sale,33.63,41,0.0,0.0,0.0,Review / consider negative
best place to buy grass seed,33.56,11,0.0,0.0,0.0,Review / consider negative
best seed for cow pasture,33.47,27,0.0,0.0,0.0,Review / consider negative
ground cover seeds,33.4,45,0.0,0.0,0.0,Review / consider negative
order grass seed online,33.39,11,0.0,0.0,0.0,Review / consider negative
utah native grass seed mix,33.37,28,0.0,0.0,0.0,Review / consider negative
white clover lawn,33.35,60,1.0,1.0,0.03,Review / consider negative
bulk micro clover seed,33.32,12,0.0,0.0,0.0,Review / consider negative
sideoats grama,33.21,81,0.0,0.0,0.0,Review / consider negative
grass seed kentucky bluegrass,32.99,7,0.0,0.0,0.0,Review / consider negative
seed mix for horse pasture,32.89,18,0.0,0.0,0.0,Review / consider negative
best grass seed for virginia,32.89,58,0.0,0.0,0.0,Review / consider negative
aster seeds,32.87,36,2.0,24.38,0.74,Review / consider negative
super seed store,32.85,7,0.0,0.0,0.0,Review / consider negative
best pasture seed mix for horses,32.66,19,0.0,0.0,0.0,Review / consider negative
bromegrass seed,32.56,14,0.0,0.0,0.0,Review / consider negative
native grass seeds,32.42,28,0.0,0.0,0.0,Review / consider negative
deep rooted grass for erosion control,32.36,45,0.0,0.0,0.0,Review / consider negative
pure kentucky bluegrass seed,32.34,18,1.0,1.0,0.03,Review / consider negative
white dutch clover seed for sale,32.24,12,0.0,0.0,0.0,Review / consider negative
lawn clover seed,32.24,16,0.0,0.22,0.01,Review / consider negative
buy micro clover seed,32.24,6,0.0,0.0,0.0,Review / consider negative
texas wildflower seeds,32.13,19,0.0,0.0,0.0,Review / consider negative
equine forage seed mix,32.05,19,0.0,0.0,0.0,Review / consider negative
s&s seeds,32.02,6,0.0,0.0,0.0,Review / consider negative
coastal bermuda grass seed,31.87,25,0.0,0.0,0.0,Review / consider negative
best pasture mix for horses,31.73,29,0.0,0.0,0.0,Review / consider negative
seeds online order,31.72,6,0.0,0.0,0.0,Review / consider negative
perennial ryegrass seeds,31.65,38,0.0,0.0,0.0,Review / consider negative
cover crop mix,31.58,26,0.0,0.0,0.0,Review / consider negative
pacific coast seeds,31.56,2,0.0,0.0,0.0,Review / consider negative
chicken fodder seed,31.55,24,0.0,0.0,0.0,Review / consider negative
createdbynature com,31.5,7,0.0,0.0,0.0,Review / consider negative
orchard grass pasture seed,31.36,11,0.0,0.0,0.0,Review / consider negative
california fescue seed,31.2,19,0.0,0.0,0.0,Review / consider negative
best grass to plant for horses,31.15,52,0.0,0.0,0.0,Review / consider negative
white sage seeds,31.02,21,0.0,0.0,0.0,Review / consider negative
best grass seed for pastures,30.97,28,1.0,1.0,0.03,Review / consider negative
winter pasture seed,30.97,32,0.0,0.0,0.0,Review / consider negative
california fescue,30.9,56,0.0,0.0,0.0,Review / consider negative
globe mallow,30.84,126,0.0,0.0,0.0,Review / consider negative
horse pasture grass mix,30.74,14,0.0,0.0,0.0,Review / consider negative
milkweed seeds,30.54,36,0.0,0.0,0.0,Review / consider negative
gurneys seeds,30.53,7,0.0,0.0,0.0,Review / consider negative
best pasture mix for goats,30.42,45,0.0,0.52,0.02,Review / consider negative
hybrid bermuda grass seed,30.33,26,0.0,0.0,0.0,Review / consider negative
pasture mix seed for cattle,30.27,34,0.0,0.0,0.0,Review / consider negative
timothy grass pellets,30.24,1,0.0,0.0,0.0,Review / consider negative
blue eyed grass seeds,30.13,41,0.0,0.0,0.0,Review / consider negative
switchgrass for sale,30.04,22,0.0,0.0,0.0,Review / consider negative
creosote bush for sale,29.88,63,0.0,0.0,0.0,Review / consider negative
native grass seed texas,29.78,29,0.0,0.0,0.0,Review / consider negative
kentucky bluegrass seeds,29.69,36,0.0,0.0,0.0,Review / consider negative
best pasture grass for horses in texas,29.59,31,0.0,0.0,0.0,Review / consider negative
best grass for cattle grazing in texas,29.48,45,0.0,0.0,0.0,Review / consider negative
groundwork equine forage seed mixture,29.45,19,0.0,0.0,0.0,Review / consider negative
honey bees for sale,29.44,32,0.0,0.0,0.0,Review / consider negative
best organic seeds,29.39,7,0.0,0.0,0.0,Review / consider negative
grass seed for sheep grazing,29.25,25,0.0,0.0,0.0,Review / consider negative
best grass seed for new england,29.22,26,0.0,0.0,0.0,Review / consider negative
hay field seed,29.15,37,0.0,0.0,0.0,Review / consider negative
chewings fescue,29.14,28,0.0,0.0,0.0,Review / consider negative
prairie seed mix,29.09,21,0.0,0.0,0.0,Review / consider negative
pennsylvania sedge seed,29.04,18,0.0,0.0,0.0,Review / consider negative
grass seed in bulk,28.96,14,0.0,0.0,0.0,Review / consider negative
hairy vetch,28.88,51,0.0,0.0,0.0,Review / consider negative
wild flower seed mix,28.79,25,0.0,0.0,0.0,Review / consider negative
desert grass seed,28.73,52,0.0,0.0,0.0,Review / consider negative
fescue,28.6,204,0.0,0.0,0.0,Review / consider negative
sundancer buffalo grass,28.58,38,0.0,0.0,0.0,Review / consider negative
buy clover seeds,28.48,9,0.0,0.0,0.0,Review / consider negative
sustane 18 1 8,28.44,3,0.0,0.0,0.0,Review / consider negative
sorghum sudangrass seed,28.38,36,0.0,0.0,0.0,Review / consider negative
meadow seed mix,28.36,20,0.0,0.0,0.0,Review / consider negative
best wildflower seed mix,28.36,14,0.0,0.0,0.0,Review / consider negative
little bluestem seeds,28.33,28,0.2,10.05,0.35,Review / consider negative
sudan grass seed,28.31,70,0.0,0.0,0.0,Review / consider negative
seed store,28.27,11,0.0,0.0,0.0,Review / consider negative
pt lawn seed,28.09,10,0.0,0.0,0.0,Review / consider negative
organic clover seeds,28.07,14,0.0,0.0,0.0,Review / consider negative
forage chicory,27.95,32,0.0,0.0,0.0,Review / consider negative
eden brothers,27.84,3,0.0,0.0,0.0,Review / consider negative
eden brothers seeds,27.82,5,0.0,0.0,0.0,Review / consider negative
micro clover seed bulk,27.77,7,0.0,0.0,0.0,Review / consider negative
ernst seed,27.76,6,0.0,0.0,0.0,Review / consider negative
little bluestem,27.73,36,0.0,0.0,0.0,Review / consider negative
winter wheat seed,27.69,50,1.2,22.77,0.82,Review / consider negative
certified grass seed,27.62,25,0.0,0.0,0.0,Review / consider negative
nasturtium seeds,27.59,46,1.0,12.77,0.46,Review / consider negative
bulk kentucky bluegrass seed,27.58,20,0.0,0.0,0.0,Review / consider negative
best grass for sheep grazing,27.49,24,0.02,0.02,0.0,Review / consider negative
goat forage seed,27.37,26,0.0,0.0,0.0,Review / consider negative
meadowscaping,27.36,9,0.0,0.0,0.0,Review / consider negative
kentucky bluegrass seed 50 lbs,27.23,27,0.0,0.0,0.0,Review / consider negative
horse seed mix,27.14,20,0.0,0.0,0.0,Review / consider negative
switchgrass seed 50 lb bag,27.13,73,1.0,22.34,0.82,Review / consider negative
alfalfa hay seed,27.07,44,0.25,0.25,0.01,Review / consider negative
mountain grass seed,27.07,32,0.0,0.0,0.0,Review / consider negative
cool season grass seed,27.01,37,0.0,0.0,0.0,Review / consider negative
agrostis pallens,26.99,21,0.0,0.0,0.0,Review / consider negative
klein grass seed,26.95,26,0.0,0.0,0.0,Review / consider negative
perennial grass seed,26.85,30,0.0,0.0,0.0,Review / consider negative
harris seeds,26.76,7,0.0,0.0,0.0,Review / consider negative
goldenrod seeds,26.63,51,1.0,1.0,0.04,Review / consider negative
