search_term,total_spend,total_clicks,total_conversions,total_conv_value,roas,recommended_action
pasture seed for goats,182.23,181,5.42,758.35,4.16,Monitor / Exact Match candidate
buy kentucky bluegrass seed,28.67,6,1.0,751.37,26.21,Add as Exact Match keyword
mountain seed company,0.26,1,5.0,745.95,2869.04,Add as Exact Match keyword
cow pasture seed,112.81,97,2.0,741.92,6.58,Add as Exact Match keyword
alfalfa seeds for sale,52.02,97,6.0,729.46,14.02,Add as Exact Match keyword
best goat pasture seed mix,83.5,78,4.32,725.8,8.69,Add as Exact Match keyword
bitterbrush seed,1.41,5,2.0,724.57,513.88,Add as Exact Match keyword
bermuda grass seed,349.1,388,8.33,723.77,2.07,Monitor
red clover,39.42,74,6.14,720.14,18.27,Add as Exact Match keyword
100 perennial ryegrass,1.09,1,1.0,718.72,659.38,Add as Exact Match keyword
nature's finest grass seed,1834.27,461,6.76,712.52,0.39,Review / consider negative
sainfoin,109.59,210,6.39,712.1,6.5,Add as Exact Match keyword
bulk wildflower seeds,301.02,151,2.0,709.53,2.36,Monitor
orchard grass,155.13,231,5.0,700.41,4.51,Monitor / Exact Match candidate
best grass for cows,21.23,46,1.0,695.9,32.78,Add as Exact Match keyword
alfalfa seed for sale,168.32,326,7.21,694.22,4.12,Monitor / Exact Match candidate
chicken grass seed,107.12,98,13.6,690.36,6.44,Add as Exact Match keyword
dry land grass seed,59.87,84,4.0,688.72,11.5,Add as Exact Match keyword
erosion control seed mix,122.97,119,8.01,674.1,5.48,Add as Exact Match keyword
california native wildflower seeds,231.35,90,10.0,669.31,2.89,Monitor
wild flower seeds,134.74,95,6.0,664.95,4.94,Monitor / Exact Match candidate
best plants for honey bees,10.96,11,1.0,659.94,60.21,Add as Exact Match keyword
high altitude wildflower seeds,13.23,7,1.0,646.35,48.85,Add as Exact Match keyword
forage for chickens,35.92,33,2.0,645.93,17.98,Add as Exact Match keyword
white clover seeds,312.26,228,11.51,641.31,2.05,Monitor
lupin seeds for sale,2.36,3,2.0,637.43,270.1,Add as Exact Match keyword
grass seed for livestock,18.38,16,1.67,631.72,34.37,Add as Exact Match keyword
horse pasture mix,196.5,100,4.95,629.75,3.2,Monitor / Exact Match candidate
natures finest seeds,39.71,10,0.5,629.65,15.86,Add as Exact Match keyword
dryland pasture seed,120.07,86,1.0,615.3,5.12,Add as Exact Match keyword
horse pasture seed for sale,8.12,4,1.0,610.0,75.12,Add as Exact Match keyword
pasture seed for cows,17.35,16,1.38,609.73,35.14,Add as Exact Match keyword
bulk california poppy seeds,80.26,34,9.0,608.44,7.58,Add as Exact Match keyword
pasture forage seed mix,33.11,36,3.76,602.11,18.19,Add as Exact Match keyword
grass seed for cattle pastures,24.82,23,8.0,597.96,24.09,Add as Exact Match keyword
bulk grass seed,285.65,264,5.0,594.35,2.08,Monitor
grass seed for pasture land,12.55,13,1.0,594.35,47.36,Add as Exact Match keyword
pasture grass,320.88,304,3.17,587.14,1.83,Review / consider negative
kentucky bluegrass,179.81,265,2.0,586.65,3.26,Monitor / Exact Match candidate
no mow grass,34.26,67,1.0,577.66,16.86,Add as Exact Match keyword
california native seed mix,90.8,51,8.03,576.35,6.35,Add as Exact Match keyword
buffalo grass,394.06,917,7.98,571.39,1.45,Review / consider negative
oat grass seeds,16.78,21,1.0,560.58,33.41,Add as Exact Match keyword
perennial pasture seed mix,60.55,54,2.0,558.41,9.22,Add as Exact Match keyword
poultry pasture seed mix,148.55,92,6.87,557.86,3.76,Monitor / Exact Match candidate
horse pasture mix seed,95.83,49,1.0,553.78,5.78,Add as Exact Match keyword
smooth bromegrass,11.72,48,2.0,553.74,47.25,Add as Exact Match keyword
pasture mix for sheep,73.41,72,2.4,549.98,7.49,Add as Exact Match keyword
idaho fescue,236.26,305,7.21,549.94,2.33,Monitor
prairie grass seed,234.6,304,6.06,548.6,2.34,Monitor
rye seed grass,16.08,14,0.96,548.32,34.1,Add as Exact Match keyword
high quality grass seed,37.37,30,2.0,541.85,14.5,Add as Exact Match keyword
perennial ryegrass seed,267.33,308,5.0,537.37,2.01,Monitor
montana native grass seed,45.53,38,2.0,534.02,11.73,Add as Exact Match keyword
great basin seed utah,34.37,3,6.12,532.76,15.5,Add as Exact Match keyword
good plants for chickens to eat,9.13,1,1.0,532.58,58.33,Add as Exact Match keyword
micro clover,499.97,314,5.73,531.74,1.06,Review / consider negative
forages for horses,0.82,1,1.0,531.34,647.98,Add as Exact Match keyword
best forage for goats,40.72,56,4.9,530.65,13.03,Add as Exact Match keyword
best pasture seed,81.47,46,2.0,524.21,6.43,Add as Exact Match keyword
clover seeds,591.52,412,13.79,521.76,0.88,Review / consider negative
horse pasture seeds,60.7,30,1.5,519.53,8.56,Add as Exact Match keyword
grass seed for horses,106.97,65,4.83,518.61,4.85,Monitor / Exact Match candidate
grass seed for cattle,26.98,26,2.0,517.34,19.17,Add as Exact Match keyword
bulk pasture seed,222.42,122,2.5,516.22,2.32,Monitor
bermuda seed,73.08,58,2.45,513.25,7.02,Add as Exact Match keyword
best clover for deer,8.64,8,2.0,510.22,59.05,Add as Exact Match keyword
eastern gamagrass seed,47.45,53,1.0,509.98,10.75,Add as Exact Match keyword
new england wetland seed mix,10.1,6,7.0,503.05,49.81,Add as Exact Match keyword
timothy hay seed,116.44,170,7.0,494.05,4.24,Monitor / Exact Match candidate
grass seed to plant in fall,2.83,2,1.0,491.92,173.82,Add as Exact Match keyword
wetland seed mix,48.21,35,2.0,487.57,10.11,Add as Exact Match keyword
orchard grass seeds per pound,9.01,2,2.12,484.6,53.78,Add as Exact Match keyword
timothy grass seed for sale,49.83,54,4.04,484.45,9.72,Add as Exact Match keyword
big bluestem,85.76,133,3.91,483.58,5.64,Add as Exact Match keyword
best grass seed for horse pastures,25.31,18,2.0,478.43,18.9,Add as Exact Match keyword
wildflower seeds bulk,216.75,68,3.0,478.21,2.21,Monitor
pasture rx,5.5,1,1.0,477.96,86.9,Add as Exact Match keyword
northern california native wildflower seeds,18.89,9,1.99,475.75,25.19,Add as Exact Match keyword
kentucky blue grass seeds,67.0,64,1.44,468.32,6.99,Add as Exact Match keyword
duckweed seeds,2.98,2,1.0,468.14,157.09,Add as Exact Match keyword
sheep's fescue grass seed,31.87,21,3.5,467.97,14.68,Add as Exact Match keyword
best horse pasture seed mix,195.49,127,6.0,463.67,2.37,Monitor
natural grass seed,56.29,47,2.0,461.2,8.19,Add as Exact Match keyword
field of orange flowers,0.01,1,1.0,460.96,46096.0,Add as Exact Match keyword
penstemon seeds,51.12,115,9.5,460.31,9.0,Add as Exact Match keyword
perennial pasture mix,25.44,20,1.11,459.59,18.07,Add as Exact Match keyword
best grass for sheep,61.97,104,2.5,459.15,7.41,Add as Exact Match keyword
pasture mix for horses,76.43,47,0.83,458.27,6.0,Add as Exact Match keyword
purple needlegrass seeds,12.98,8,1.64,457.59,35.25,Add as Exact Match keyword
wheat seeds,39.03,70,3.0,452.06,11.58,Add as Exact Match keyword
rice hulls,127.73,268,11.94,451.87,3.54,Monitor / Exact Match candidate
pearl millet,18.43,57,1.0,450.94,24.47,Add as Exact Match keyword
california poppy seeds,258.35,153,8.51,447.71,1.73,Review / consider negative
grass seed mix for chickens,22.12,18,2.0,445.91,20.16,Add as Exact Match keyword
cattle pasture mix,79.88,49,2.0,445.23,5.57,Add as Exact Match keyword
poultry forage mix,14.54,14,1.0,445.18,30.62,Add as Exact Match keyword
best plants to grow for chickens,5.7,5,1.0,444.9,78.05,Add as Exact Match keyword
clover pasture seed,16.4,12,2.5,443.45,27.04,Add as Exact Match keyword
