Product Item ID,Product Title,Product Type L1,Product Type L2,Total Impressions,Total Clicks,Total Cost ($),Total Conversions,Total Revenue ($),Total ROAS,CTR (%),Avg CPC ($),Conv Rate (%),Avg Order Value ($),Quarters Active,Campaigns
pb-iwal,Intermountain West Alpaca/Llama Forage Mix Pasture Seed | Nature's Seed,pasture seed,intermountain west alpaca/llama forage mix,11851,55,28.74,1.50,540.26,18.80,0.46,0.52,2.73,360.17,8,8
gla_183950,Great Lakes/New England Sheep Forage Mix,pasture seed,sheep pastures,3817,18,43.69,0.74,816.52,18.69,0.47,2.43,4.11,1103.41,4,9
pb-pnwbc-2.5-a,Pacific Northwest Beef Cattle Forage Blend - Pasture Seed | Nature's Seed,pasture seed,pacific northwest beef cattle forage blend,9590,113,68.86,3.50,1274.23,18.50,1.18,0.61,3.10,364.07,3,3
gs2_000008,"Nature's Seed Forage 25 Lb of Pasture Grass Seed for 25,000 Sq Ft Kentucky Bluegrass Filler-Free Curated Varieties by Seed Experts",pasture seeds,single species pasture seeds,16944,80,85.79,3.73,1548.18,18.05,0.47,1.07,4.66,415.06,1,6
gla_184011,Great Lakes/New England Alpaca/Llama Forage Mix,pasture seed,alpaca/llama pastures,1494,28,44.13,10.24,784.89,17.79,1.87,1.58,36.57,76.65,3,9
pb-pnwal-1-a,Pacific Northwest Alpaca/Llama Forage Blend - Pasture Seed | Nature's Seed,pasture seed,pacific northwest alpaca/llama forage blend,7339,22,7.42,1.00,131.77,17.76,0.30,0.34,4.55,131.77,4,3
gla_183934,Southern Subtropics Sheep Forage Mix,pasture seed,sheep pastures,8939,235,311.51,9.68,5185.73,16.65,2.63,1.33,4.12,535.72,3,9
pb-glg,Great Lakes/New England Goat Forage Mix Pasture Seed | Nature's Seed,pasture seed,great lakes/new england goat forage mix,40815,289,177.90,16.71,2882.86,16.20,0.71,0.62,5.78,172.52,8,8
gla_185517,Mid-West/Mid-Atlantic Poultry Forage Mix,pasture seed,poultry pastures,898,13,10.96,0.96,176.33,16.09,1.45,0.84,7.38,183.68,4,8
pb-pnws,Pacific Northwest Sheep Forage Mix,pasture seed,pacific northwest sheep forage mix,44551,391,200.62,13.79,3224.20,16.07,0.88,0.51,3.53,233.81,8,12
gla_445284,"Nature's Seed Cool‐Adapted Pasture & Forage 10 Lb for 10,000 Sq Ft Mix No Fillers, Just Quality Feed for Sheep",new,pasture seeds mix,14911,81,78.13,1.35,1246.15,15.95,0.54,0.96,1.67,923.07,3,7
gla_185515,Mid-West/Mid-Atlantic Poultry Forage Mix,pasture seed,poultry pastures,3229,24,24.13,1.00,380.79,15.78,0.74,1.01,4.17,380.79,4,9
gla_183614,Great Lakes/New England Horse Forage Mix,pasture seed,horse pastures,3297,57,120.47,1.00,1895.27,15.73,1.73,2.11,1.75,1895.27,4,10
pb-ssapb-1-a,Southwest Semi-Arid Steppe Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southwest semi-arid steppe poultry forage blend,809,4,1.33,0.31,20.87,15.69,0.49,0.33,7.75,67.32,3,3
gla_186800,Great Plains Pig Forage Mix,pasture seed,pig pastures,9530,278,169.16,14.28,2534.44,14.98,2.92,0.61,5.14,177.48,4,9
pb-gpdc,Great Plains Dairy Cow Forage Mix Pasture Seed | Nature's Seed,pasture seed,great plains dairy cow forage mix,37430,193,82.59,8.00,1218.71,14.76,0.52,0.43,4.15,152.34,8,8
pb-satg-1-a,South-Atlantic Transitional Goat Forage Blend - Pasture Seed | Nature's Seed,pasture seed,south-atlantic transitional goat forage blend,26926,187,124.88,4.33,1787.88,14.32,0.69,0.67,2.32,412.91,4,3
gla_183579,South-Atlantic Transitional Horse Forage Mix,pasture seed,horse pastures,2387,20,36.77,2.03,518.70,14.11,0.84,1.84,10.15,255.52,4,9
pb-glal-1-a,Great Lakes/New England Alpaca/Llama Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great lakes/new england alpaca/llama forage blend,11533,40,30.95,2.50,430.98,13.93,0.35,0.77,6.25,172.39,4,3
pb-ssapb-1500-f,Southwest Semi-Arid Steppe Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southwest semi-arid steppe poultry forage blend,411,1,0.51,0.17,6.97,13.67,0.24,0.51,17.00,41.00,4,3
gla_183815,Pacific Southwest Goat Forage Mix,pasture seed,goat pastures,4162,26,35.07,1.70,478.00,13.63,0.62,1.35,6.54,281.18,3,9
pb-iwg,Intermountain West Goat Forage Mix Pasture Seed | Nature's Seed,pasture seed,intermountain west goat forage mix,36160,186,124.02,12.56,1668.93,13.46,0.51,0.67,6.75,132.88,8,8
pb-ssapb,Southwest Semi-Arid Steppe Poultry Forage Mix,pasture seed,southwest semi-arid steppe poultry forage mix,6781,8,1.59,0.33,21.00,13.21,0.12,0.20,4.12,63.64,8,7
pb-iws,Intermountain West Sheep Forage Mix Pasture Seed | Nature's Seed,pasture seed,intermountain west sheep forage mix,28118,172,107.09,5.56,1410.95,13.18,0.61,0.62,3.23,253.77,8,8
pb-ssal,Southern Subtropics Alpaca/Llama Forage Mix Pasture Seed | Nature's Seed,pasture seed,southern subtropics alpaca/llama forage mix,8428,23,11.05,0.50,143.55,12.99,0.27,0.48,2.17,287.10,8,7
pb-psws,Pacific Southwest Sheep Forage Mix Pasture Seed | Nature's Seed,pasture seed,pacific southwest sheep forage mix,13834,52,32.27,3.20,417.26,12.93,0.38,0.62,6.15,130.39,8,8
pb-glal,Great Lakes/New England Alpaca/Llama Forage Mix Pasture Seed | Nature's Seed,pasture seed,great lakes/new england alpaca/llama forage mix,43947,246,101.80,7.81,1313.69,12.90,0.56,0.41,3.17,168.21,8,8
pb-pswbc,Pacific Southwest Beef Cattle Forage Mix,pasture seed,pacific southwest beef cattle forage mix,24202,112,61.59,3.82,786.53,12.77,0.46,0.55,3.41,205.90,8,8
pb-glpb,Great Lakes/New England Poultry Forage Mix Pasture Seed | Nature's Seed,pasture seed,great lakes/new england poultry forage mix,48301,347,153.89,23.73,1907.15,12.39,0.72,0.44,6.84,80.37,8,8
pb-ftal,Florida Tropics Alpaca/Llama Forage Mix Pasture Seed | Nature's Seed,pasture seed,florida tropics alpaca/llama forage mix,12152,36,11.63,0.50,143.55,12.34,0.30,0.32,1.39,287.10,8,7
pb-sath,South-Atlantic Transitional Horse Forage Mix Pasture Seed | Nature's Seed,pasture seed,south-atlantic transitional horse forage mix,119517,825,644.58,17.82,7942.39,12.32,0.69,0.78,2.16,445.70,8,8
gla_445850,"Nature's Seed Warm‐Season Pasture & Forage 20 Lb for 20,000 Sq Ft Mix No Filler, Palatable Seed for Horses",pasture seeds,pasture seeds mix,13990,77,150.92,16.54,1828.45,12.12,0.55,1.96,21.48,110.55,3,7
pb-satal,South-Atlantic Transitional Alpaca/Llama Forage Mix Pasture Seed | Nature's Seed,pasture seed,south-atlantic transitional alpaca/llama forage mix,21513,130,72.11,4.90,869.03,12.05,0.60,0.55,3.77,177.35,8,8
gla_183656,Great Plains Beef Cattle Forage Mix,pasture seed,cattle pastures,4602,59,64.86,1.00,779.94,12.02,1.28,1.10,1.69,779.94,4,10
gla_184025,South-Atlantic Transitional Alpaca/Llama Forage Mix,pasture seed,alpaca/llama pastures,828,6,10.90,1.00,129.00,11.83,0.72,1.82,16.67,129.00,3,9
pb-iwpb,Intermountain West Poultry Forage Mix Pasture Seed | Nature's Seed,pasture seed,intermountain west poultry forage mix,55691,423,178.98,14.18,2111.91,11.80,0.76,0.42,3.35,148.94,8,8
pb-mwb,Mid-West/Mid-Atlantic Bison Forage Mix,pasture seed,mid-west/mid-atlantic bison forage mix,17572,52,24.22,3.00,285.75,11.80,0.30,0.47,5.77,95.25,8,6
pb-pnwal-2.5-a,Pacific Northwest Alpaca/Llama Forage Blend - Pasture Seed | Nature's Seed,pasture seed,pacific northwest alpaca/llama forage blend,27372,112,49.43,2.00,582.90,11.79,0.41,0.44,1.79,291.45,4,3
pb-ssh,Southern Subtropics Horse Forage Mix Pasture Seed | Nature's Seed,pasture seed,southern subtropics horse forage mix,57273,303,229.09,10.16,2677.59,11.69,0.53,0.76,3.35,263.54,8,8
gla_185499,Intermountain West Poultry Forage Mix,pasture seed,poultry pastures,11039,135,126.94,2.69,1465.50,11.54,1.22,0.94,1.99,544.80,4,9
gla_183880,Pacific Northwest Sheep Forage Mix,pasture seed,sheep pastures,12724,75,159.17,3.15,1836.86,11.54,0.59,2.12,4.20,583.13,4,9
gla_184012,Great Lakes/New England Alpaca/Llama Forage Mix,pasture seed,alpaca/llama pastures,3263,30,27.62,1.06,318.32,11.52,0.92,0.92,3.53,300.30,3,9
gla_183710,Pacific Southwest Dairy Cow Forage Mix,pasture seed,cattle pastures,1453,16,19.65,4.00,226.26,11.51,1.10,1.23,25.00,56.56,4,10
pb-iwbc-2.5-a,Intermountain West Beef Cattle Forage Blend - Pasture Seed | Nature's Seed,pasture seed,intermountain west beef cattle forage blend,13893,84,53.24,2.58,593.86,11.15,0.60,0.63,3.07,230.18,4,3
pb-gpal,Great Plains Alpaca/Llama Forage Mix Pasture Seed | Nature's Seed,pasture seed,great plains alpaca/llama forage mix,15780,98,45.37,3.90,498.59,10.99,0.62,0.46,3.98,127.84,8,8
gla_183886,Southwest Desert Sheep Forage Mix,pasture seed,sheep pastures,3704,59,111.96,1.69,1228.19,10.97,1.59,1.90,2.86,726.74,4,9
gla_183537,Sheep Fescue Grass,lawn seed,grass seed by state,2768,11,32.39,2.00,354.94,10.96,0.40,2.94,18.18,177.47,4,7
s-feov,Sheep Fescue Grass Seed,grass seed,sheep fescue grass,74554,1035,434.16,63.15,4726.15,10.89,1.39,0.42,6.10,74.84,8,12
pb-swtpb-0.5-a,Southwest Transitional Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southwest transitional poultry forage blend,2512,12,6.36,1.57,69.21,10.88,0.48,0.53,13.08,44.08,4,3
gla_183663,South-Atlantic Transitional Beef Cattle Forage Mix,pasture seed,cattle pastures,3099,31,33.31,1.00,361.76,10.86,1.00,1.07,3.23,361.76,4,10
pb-ftbc,Florida Tropics Beef Cattle Forage Mix Pasture Seed | Nature's Seed,pasture seed,florida tropics beef cattle forage mix,62470,476,237.57,4.53,2577.42,10.85,0.76,0.50,0.95,568.97,8,8
pb-sss,Southern Subtropics Sheep Forage Mix Pasture Seed | Nature's Seed,pasture seed,southern subtropics sheep forage mix,31505,170,95.73,3.03,1033.18,10.79,0.54,0.56,1.78,340.98,8,8
pb-iwg-1-a,Intermountain West Goat Forage Blend - Pasture Seed | Nature's Seed,pasture seed,intermountain west goat forage blend,12158,67,45.94,1.59,490.46,10.68,0.55,0.69,2.37,308.47,4,3
gs1_445846,"Nature's Seed Warm‐Season Forage 10 Lb of Pasture Grass Seed for 10,000 Sq Ft Mix No Fillers, Just Quality Feed for Sheep",pasture seeds,pasture seeds mix,5561,23,36.95,6.50,383.35,10.37,0.41,1.61,28.26,58.98,1,6
gla_183697,Great Lakes/New England Beef Cattle Forage Mix,pasture seed,cattle pastures,4429,94,68.99,1.00,705.74,10.23,2.12,0.73,1.06,705.74,3,9
gla_183823,Great Plains Goat Forage Mix,pasture seed,goat pastures,7995,127,130.62,3.23,1324.85,10.14,1.59,1.03,2.54,410.17,4,9
pb-swdg,Southwest Desert Goat Forage Mix Pasture Seed | Nature's Seed,pasture seed,southwest desert goat forage mix,52782,429,230.53,10.05,2323.28,10.08,0.81,0.54,2.34,231.17,8,8
pb-mwal,Mid-West/Mid-Atlantic Alpaca/Llama Forage Mix Pasture Seed | Nature's Seed,pasture seed,mid-west/mid-atlantic alpaca/llama forage mix,36604,374,122.01,6.55,1228.87,10.07,1.02,0.33,1.75,187.61,8,8
gla_185526,Pacific Southwest Poultry Forage Mix,pasture seed,poultry pastures,1396,12,11.83,2.00,117.74,9.95,0.86,0.99,16.67,58.87,2,3
gla_185575,Southwest Transitional Poultry Forage Mix,pasture seed,poultry pastures,2934,39,48.00,2.00,469.86,9.79,1.33,1.23,5.13,234.93,4,9
pb-swtal-2.5-a,Southwest Transitional Alpaca/Llama Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southwest transitional alpaca/llama forage blend,1198,5,6.31,0.54,61.13,9.69,0.42,1.26,10.80,113.20,3,3
12259452180464992562,Tortoise Forage & Habitat Mix,,,1122,35,24.07,7.57,230.55,9.58,3.12,0.69,21.63,30.46,2,2
gla_445838,"Nature's Seed California Forage 5 Lb of Pasture Grass Seed for 5,000 Sq Ft Mix Native seed blend",pasture seeds,pasture seeds mix,5146,41,139.45,7.57,1331.02,9.54,0.80,3.40,18.46,175.83,3,4
pb-glh,Great Lakes/New England Horse Forage Mix Pasture Seed | Nature's Seed,pasture seed,great lakes/new england horse forage mix,149438,1208,1052.16,47.78,9973.14,9.48,0.81,0.87,3.96,208.73,8,8
gla_445848,"Nature's Seed Transitional Pasture & Forage 20 Lb for 20,000 Sq Ft Mix No Fillers, Just Quality Feed for Sheep",pasture seeds,pasture seeds mix,20653,168,227.78,13.72,2152.15,9.45,0.81,1.36,8.17,156.86,3,7
pb-mwal-0.5-a,Mid-West/Mid-Atlantic Alpaca/Llama Forage Blend - Pasture Seed | Nature's Seed,pasture seed,mid-west/mid-atlantic alpaca/llama forage blend,7285,36,20.42,1.32,192.46,9.43,0.49,0.57,3.67,145.80,4,3
pb-sss-2.5-a,Southern Subtropics Sheep Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southern subtropics sheep forage blend,5569,31,23.95,0.94,223.77,9.34,0.56,0.77,3.03,238.05,4,3
gla_440366,"Nature’s Seed Goat Pasture Mix – Southern 10 lb Seed Blend with Alfalfa, Chicory, Clover & Bermuda – Drought & Heat Resist.",pasture seed,goat pasture seed,15634,125,94.78,2.43,885.46,9.34,0.80,0.76,1.94,364.39,2,6
pb-pswh-1-a,Pacific Southwest Horse Forage Blend - Pasture Seed | Nature's Seed,pasture seed,pacific southwest horse forage blend,18638,86,94.28,6.66,875.08,9.28,0.46,1.10,7.74,131.39,4,3
gla_183949,Great Lakes/New England Sheep Forage Mix,pasture seed,sheep pastures,4297,109,224.26,6.29,2062.93,9.20,2.54,2.06,5.77,327.97,4,9
gla_440361,Big Game Forage Mix,pasture seed,,2480,13,19.64,1.00,179.98,9.16,0.52,1.51,7.69,179.98,2,3
pb-gph,Great Plains Horse Forage Mix Pasture Seed | Nature's Seed,pasture seed,great plains horse forage mix,153667,899,782.69,16.01,7171.94,9.16,0.59,0.87,1.78,447.97,8,8
gla_445843,"Nature's Seed Cool‐Adapted Pasture & Forage 50 Lb for 50,000 Sq Ft Mix No Fillers, Just Quality Feed for Sheep",pasture seeds,pasture seeds mix,13849,87,185.38,3.80,1697.97,9.16,0.63,2.13,4.37,446.83,3,7
pb-pnwbc-1-a,Pacific Northwest Beef Cattle Forage Blend - Pasture Seed | Nature's Seed,pasture seed,pacific northwest beef cattle forage blend,16239,164,102.24,3.47,932.22,9.12,1.01,0.62,2.12,268.65,4,3
gla_440384,Transitional Sheep Pasture Mix,pasture seed,,5727,55,84.37,2.47,765.10,9.07,0.96,1.53,4.49,309.76,2,5
pb-sspb,Southern Subtropics Poultry Forage Mix Pasture Seed | Nature's Seed,pasture seed,southern subtropics poultry forage mix,70427,413,145.32,22.00,1310.05,9.01,0.59,0.35,5.33,59.55,8,8
gla_185600,Southwest Desert Poultry Forage Mix,pasture seed,poultry pastures,5377,100,120.68,7.00,1085.65,9.00,1.86,1.21,7.00,155.09,4,10
gla_183795,Pacific Northwest Goat Forage Mix,pasture seed,goat pastures,2914,23,30.60,4.98,274.58,8.97,0.79,1.33,21.65,55.14,2,3
pb-pswal,Pacific Southwest Alpaca/Llama Forage Mix,pasture seed,pacific southwest alpaca/llama forage mix,15378,45,17.84,2.00,159.22,8.92,0.29,0.40,4.44,79.61,8,7
pb-pnwal,Pacific Northwest Alpaca/Llama Forage Mix,pasture seed,pacific northwest alpaca/llama forage mix,61730,372,155.26,8.12,1375.26,8.86,0.60,0.42,2.18,169.37,8,13
pb-glpb-2.5-a,Great Lakes/New England Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great lakes/new england poultry forage blend,4629,31,17.39,2.15,152.65,8.78,0.67,0.56,6.94,71.00,4,3
pb-mwdc,Mid-West/Mid-Atlantic Dairy Cow Forage Mix Pasture Seed | Nature's Seed,pasture seed,mid-west/mid-atlantic dairy cow forage mix,36929,139,63.09,2.75,551.90,8.75,0.38,0.45,1.98,200.69,8,8
gla_446613,"Nature's Seed Pasture & Forage 25 Lb for 25,000 Sq Ft Buffalograss Filler-Free Curated Varieties by Seed Experts",pasture seeds,single species pasture seeds,5591,27,23.98,1.00,209.49,8.74,0.48,0.89,3.70,209.49,3,7
pb-swds,Southwest Desert Sheep Forage Mix Pasture Seed | Nature's Seed,pasture seed,southwest desert sheep forage mix,29039,187,105.72,4.58,918.61,8.69,0.64,0.57,2.45,200.57,8,8
gla_184577,Forage Chicory,pasture seed,individual pasture species,40889,116,81.77,3.15,709.12,8.67,0.28,0.70,2.72,225.12,3,9
gla_186848,Southwest Desert Pig Forage Mix,pasture seed,pig pastures,3383,49,47.95,2.00,411.61,8.58,1.45,0.98,4.08,205.81,3,8
pg-mesa,"Alfalfa seeds - Bulk bags available - High quality alfalfa seed for pastures, forage, cover crops or sprouting",pasture seed,alfalfa seed,271307,3241,739.49,114.20,6338.57,8.57,1.19,0.23,3.52,55.50,8,19
gla_183612,Great Lakes/New England Horse Forage Mix,pasture seed,horse pastures,26917,494,720.76,29.35,6172.50,8.56,1.84,1.46,5.94,210.31,4,10
pb-ftpb-0.5-a,Florida Tropics Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,florida tropics poultry forage blend,4600,41,17.41,1.50,147.09,8.45,0.89,0.42,3.66,98.06,4,3
gla_186799,Great Plains Pig Forage Mix,pasture seed,pig pastures,10345,148,130.16,2.50,1099.29,8.45,1.43,0.88,1.69,439.72,4,9
gla_183803,Southwest Desert Goat Forage Mix,pasture seed,goat pastures,3202,51,77.68,2.00,653.34,8.41,1.59,1.52,3.92,326.67,4,9
pb-swddc-0.5-a,Southwest Desert Dairy Cow Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southwest desert dairy cow forage blend,2750,6,9.16,0.25,75.48,8.24,0.22,1.53,4.17,301.92,4,3
pb-mwal-2.5-a,Mid-West/Mid-Atlantic Alpaca/Llama Forage Blend - Pasture Seed | Nature's Seed,pasture seed,mid-west/mid-atlantic alpaca/llama forage blend,8185,38,22.23,1.25,182.84,8.22,0.46,0.58,3.29,146.27,4,3
pb-gppb-500-f,Great Plains Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great plains poultry forage blend,15947,111,86.58,6.06,704.09,8.13,0.70,0.78,5.46,116.19,4,3
pb-pswh-2.5-a,Pacific Southwest Horse Forage Blend - Pasture Seed | Nature's Seed,pasture seed,pacific southwest horse forage blend,10310,50,92.57,4.50,744.81,8.05,0.48,1.85,9.00,165.51,4,3
pb-fts,Florida Tropics Sheep Forage Mix Pasture Seed | Nature's Seed,pasture seed,florida tropics sheep forage mix,17326,89,45.73,1.00,360.97,7.89,0.51,0.51,1.12,360.97,8,8
gs3_000005,Nature's Seed planting aid 25 LB Sheep Fescue Filler-Free Curated Varieties by Seed Experts,specialty seeds,lawn alternative/enhancer,8649,80,102.25,11.00,782.95,7.66,0.92,1.28,13.75,71.18,1,4
gla_455525,"Deer Food Plot Seed Mix (Krunch & Munch) - Wildlife Forage - 20 lb, Covers 2,000 sq ft | Nature's Seed",food plot,food plot mix wildlife attractor,8581,58,39.83,2.00,303.63,7.62,0.68,0.69,3.45,151.81,1,3
gla_183892,Mid-West/Mid-Atlantic Sheep Forage Mix,pasture seed,sheep pastures,13826,335,546.39,15.70,4159.70,7.61,2.42,1.63,4.69,264.95,4,9
gla_183887,Southwest Desert Sheep Forage Mix,pasture seed,sheep pastures,1412,13,23.05,0.98,175.19,7.60,0.92,1.77,7.54,178.77,4,9
pb-satbc,South-Atlantic Transitional Beef Cattle Forage Mix Pasture Seed | Nature's Seed,pasture seed,south-atlantic transitional beef cattle forage mix,84107,604,331.27,7.95,2509.00,7.57,0.72,0.55,1.32,315.60,8,8
pb-pnwg,Pacific Northwest Goat Forage Mix,pasture seed,pacific northwest goat forage mix,54568,539,288.63,18.30,2182.51,7.56,0.99,0.54,3.40,119.26,8,13
pb-pswpb-1500-f,Pacific Southwest Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,pacific southwest poultry forage blend,3164,12,9.29,1.00,69.65,7.50,0.38,0.77,8.33,69.65,3,3
pb-iwal-2.5-a,Intermountain West Alpaca/Llama Forage Blend - Pasture Seed | Nature's Seed,pasture seed,intermountain west alpaca/llama forage blend,3364,15,7.00,0.51,52.46,7.49,0.45,0.47,3.40,102.86,4,3
gla_183696,Great Lakes/New England Beef Cattle Forage Mix,pasture seed,cattle pastures,9804,201,202.69,2.89,1513.51,7.47,2.05,1.01,1.44,523.71,4,10
gla_183808,Mid-West/Mid-Atlantic Goat Forage Mix,pasture seed,goat pastures,2146,30,22.15,1.12,165.32,7.46,1.40,0.74,3.73,147.61,3,6
pb-gps,Great Plains Sheep Forage Mix Pasture Seed | Nature's Seed,pasture seed,great plains sheep forage mix,58550,559,253.30,9.69,1884.30,7.44,0.95,0.45,1.73,194.46,8,8
