Campaign Name,Ad Group,Keyword Text,Match Type,Quality Score,Last 3M Impressions,Last 3M Clicks,Last 3M Cost,Last 3M Conversions,Last 3M Revenue,Last 3M ROAS
Search | Brand | ROAS,Brand,natures seed,EXACT,10,2044,1032,1046.85,93.4,21575.75,20.61
Search | Animal Seed (Broad) | ROAS,Poultry,best pasture grass for chickens,BROAD,,1235,94,194.94,4.8,241.26,1.24
Search | Animal Seed (Broad) | ROAS,Wildflower Seed,best perennial wildflower seed mix,BROAD,7,1416,74,189.36,2.0,174.33,0.92
Search | Pasture | Exact,Poultry,what to plant for chickens,PHRASE,5,1707,148,180.35,6.0,804.05,4.46
Search | Animal Seed (Broad) | ROAS,Poultry,grass seed for chickens,BROAD,6,1491,97,172.03,2.7,302.16,1.76
Search | Animal Seed (Broad) | ROAS,Alpaca,best pasture grass for alpacas,BROAD,,1077,56,161.50,5.3,463.96,2.87
Search | Animal Seed (Broad) | ROAS,Microclover,microclover seed,BROAD,7,1383,80,140.16,3.0,291.76,2.08
Search | Pasture | Exact,Sheep,pasture grass for sheep,EXACT,10,558,80,133.52,0.0,1.06,0.01
Search | Animal Seed (Broad) | ROAS,Cattle,winter pasture seed mix for cattle,BROAD,10,863,68,129.32,2.0,952.81,7.37
Search | Animal Seed (Broad) | ROAS,Poultry,chicken pasture seed,BROAD,10,531,43,123.97,1.5,68.83,0.56
Search | Pasture | Exact,Wildflowers,wildflower seeds,PHRASE,5,1119,100,121.34,0.0,0.00,0.00
Search | Pasture | Exact,Poultry,chicken pasture seed mix,PHRASE,9,410,69,118.71,5.0,287.09,2.42
Search | Pasture | Exact,Cattle,pasture grass seed mix,PHRASE,6,530,73,112.17,0.9,49.05,0.44
Search | Animal Seed (Broad) | ROAS,Poultry,forage seed mix for chickens,BROAD,7,995,59,94.62,1.0,19.99,0.21
Search | Animal Seed (Broad) | ROAS,Alpaca,alpaca pasture seed,BROAD,10,410,29,87.07,0.2,18.20,0.21
Search | Pasture | Exact,Poultry,best pasture grass for chickens,PHRASE,7,700,66,86.38,4.0,293.90,3.40
Search | Brand | ROAS,Brand,naturesseed,EXACT,8,83,29,85.84,2.0,492.77,5.74
Search | Pasture | Exact,Regional/Lawn,pacific northwest grass seed,PHRASE,7,109,30,63.85,1.0,259.90,4.07
Search | Pasture | Exact,Poultry,cover crop for chickens,PHRASE,6,322,39,63.62,4.0,271.15,4.26
Search | Pasture | Exact,Poultry,grass seed for chickens,PHRASE,6,391,48,61.75,2.9,77.03,1.25
Search | Pasture | Exact,Sheep,pasture grass for sheep,PHRASE,10,211,26,40.83,0.0,0.00,0.00
Search | Pasture | Exact,Cattle,livestock pasture seed,PHRASE,8,242,32,39.70,2.0,183.98,4.63
Search | Pasture | Exact,Sheep,sheep forage seed mix,EXACT,9,110,21,37.38,0.0,0.00,0.00
Search | Animal Seed (Broad) | ROAS,Wildflower Seed,arizona wildflower seed mix,BROAD,8,249,23,31.74,0.0,0.00,0.00
Search | Animal Seed (Broad) | ROAS,Microclover,bulk micro clover seed,BROAD,7,168,12,31.03,0.0,0.00,0.00
Search | Pasture | Exact,Poultry,chicken safe grass seed,PHRASE,6,66,13,27.23,0.0,0.00,0.00
Search | Animal Seed (Broad) | ROAS,Pig,pig pasture seed,BROAD,10,213,12,25.06,0.0,0.00,0.00
Search | Pasture | Exact,Llama,alpaca grass seed,PHRASE,,54,11,24.66,0.0,0.00,0.00
Search | Animal Seed (Broad) | ROAS,White Clover,white clover grass seed,BROAD,6,104,9,24.35,0.0,0.00,0.00
Search | Pasture | Exact,Horse,pasture grass seed for horses,PHRASE,6,205,20,23.83,0.0,0.00,0.00
Search | Animal Seed (Broad) | ROAS,White Clover,white clover lawn,BROAD,3,299,15,21.62,0.0,0.00,0.00
Search | Pasture | Exact,Hay Seed,timothy grass seed,PHRASE,7,144,22,20.74,0.0,0.00,0.00
Search | Animal Seed (Broad) | ROAS,White Clover,white clover grass,BROAD,5,35,4,20.57,0.0,0.00,0.00
Search | Animal Seed (Broad) | ROAS,Pig,best pasture grass for pigs,BROAD,,375,17,19.44,1.0,179.24,9.22
Search | Pasture | Exact,Horse,pasture seed for horses,PHRASE,8,72,14,18.54,0.0,0.00,0.00
Search | Pasture | Exact,Cattle,drought tolerant pasture grass seed,PHRASE,5,39,4,15.38,1.0,31.32,2.04
Search | Pasture | Exact,Wildflowers,california wildflower seeds,PHRASE,6,68,7,14.29,0.0,0.00,0.00
Search | Pasture | Exact,Wildflowers,california native wildflower seeds,PHRASE,5,73,6,10.69,0.0,0.00,0.00
Search | Pasture | Exact,Cattle,texas pasture grass seed,PHRASE,5,28,4,3.43,0.0,0.00,0.00
Search | Animal Seed (Broad) | ROAS,White Clover,trifolium repens,BROAD,5,24,1,2.42,0.0,0.00,0.00
Search | Pasture | Exact,Regional/Lawn,northern california grass seed,PHRASE,5,27,2,1.91,0.0,0.00,0.00
Search | Animal Seed (Broad) | ROAS,Wildflower Seed,red columbine seeds,BROAD,5,8,1,1.46,0.0,0.00,0.00
Search | Animal Seed (Broad) | ROAS,Pig,pasture mix for pigs,BROAD,10,25,0,0.00,0.0,0.00,0.00
Search | Brand | ROAS,Brand,natures finest seed,EXACT,,1,0,0.00,0.0,0.00,0.00
Search | Animal Seed (Broad) | ROAS,Cattle,dairy cow pasture seed,BROAD,10,1,0,0.00,0.0,0.00,0.00
Search | Animal Seed (Broad) | ROAS,White Clover,white clover plant,BROAD,,2,0,0.00,0.0,0.00,0.00
Search | Animal Seed (Broad) | ROAS,White Clover,white clover ground cover,BROAD,5,3,0,0.00,0.0,0.00,0.00
Search | Animal Seed (Broad) | ROAS,Wildflower Seed,beauty beyond belief wildflower seeds,BROAD,5,16,0,0.00,0.0,0.00,0.00
Search | Pasture | Exact,Clover,california clover seed,PHRASE,,1,0,0.00,0.0,0.00,0.00
Search | Pasture | Exact,Wildflowers,bulk california wildflower seeds,PHRASE,6,3,0,0.00,0.0,0.00,0.00
Search | Pasture | Exact,Wildflowers,southern california wildflower seeds,PHRASE,1,10,0,0.00,0.0,0.00,0.00
Search | Pasture | Exact,Wildflowers,california native seed mix,PHRASE,5,7,0,0.00,0.0,0.00,0.00
