Product Item ID,Product Title,Product Type L1,Product Type L2,Total Impressions,Total Clicks,Total Cost ($),Total Conversions,Total Revenue ($),Total ROAS,CTR (%),Avg CPC ($),Conv Rate (%),Avg Order Value ($),Quarters Active,Campaigns
turf-buda-5000-f,Buffalograss Seed Blend - Grass Seed | Nature's Seed,grass seed,buffalograss seed blend,27970,228,90.27,4.75,6587.00,72.97,0.82,0.40,2.08,1386.74,3,3
gla_445540,"California Native Fine Fescue Mix | Low Water, No-Mow Lawn Alter Native | 5 Lb 10,000 Sq Ft | Nature's Seed",lawn / turf seeds,home lawn/yard grass seed,127989,1267,1162.25,36.57,6405.81,5.51,0.99,0.92,2.89,175.17,3,4
pg-mesa,"Alfalfa seeds - Bulk bags available - High quality alfalfa seed for pastures, forage, cover crops or sprouting",pasture seed,alfalfa seed,271307,3241,739.49,114.20,6338.57,8.57,1.19,0.23,3.52,55.50,8,19
gla_446575,"California Wildflower Seed Blend 5 Lb for 10,000 Sq Ft Mix Native to California | Nature's Seed",wildflower seeds,regional wildflower mixes,19364,181,833.06,21.12,6297.13,7.56,0.93,4.60,11.67,298.16,3,4
turf-nff-2000-f,Native Fine Fescue Mix - Grass Seed | Nature's Seed,grass seed,native fine fescue mix,71812,608,360.90,9.32,6293.51,17.44,0.85,0.59,1.53,675.27,4,3
gla_183612,Great Lakes/New England Horse Forage Mix,pasture seed,horse pastures,26917,494,720.76,29.35,6172.50,8.56,1.84,1.46,5.94,210.31,4,10
pb-swdh,Southwest Desert Horse Forage Mix Pasture Seed | Nature's Seed,pasture seed,southwest desert horse forage mix,164209,1500,1036.46,34.20,6134.72,5.92,0.91,0.69,2.28,179.38,8,8
pg-pavi,Switchgrass Pasture Seed | Nature's Seed,pasture seed,switchgrass,268404,2843,1006.35,58.12,5889.85,5.85,1.06,0.35,2.04,101.34,8,7
gla_406902,Buffalograss Seed Blend 1000 sq. ft.,lawn seed,grass seed by state,91187,970,1413.11,17.01,5777.19,4.09,1.06,1.46,1.75,339.63,4,9
pg-trre-50-lb,White Clover - Pasture Seed | Nature's Seed,pasture seed,white clover,103753,800,534.77,14.31,5498.26,10.28,0.77,0.67,1.79,384.23,4,3
gla_445869,"Poultry Forage Mix Omega-3 Rich Clover & Alfalfa Blend for Chickens & Ducks 5 Lb for 10,000 Sq Ft | Nature's Seed",pasture seeds,pasture seeds mix,78835,1030,879.05,73.93,5474.24,6.23,1.31,0.85,7.18,74.05,3,4
pg-phpr,Timothy,pasture seed,timothy,140386,1929,539.94,98.28,5433.48,10.06,1.37,0.28,5.09,55.29,8,19
gla_192010,Northeast Seed Mix,lawn seed,grass seed by state,44544,589,1057.04,16.85,5223.91,4.94,1.32,1.79,2.86,310.02,3,7
gla_183934,Southern Subtropics Sheep Forage Mix,pasture seed,sheep pastures,8939,235,311.51,9.68,5185.73,16.65,2.63,1.33,4.12,535.72,3,9
turf-jbr-1000-f,Jimmy's Blue Ribbon Premium Grass Seed Mix - Grass Seed | Nature's Seed,grass seed,jimmy's blue ribbon premium grass seed mix,230207,3328,644.89,46.13,5159.26,8.00,1.45,0.19,1.39,111.84,4,3
gla_184431,Tortoise Forage Mix,pasture seed,fescue grass seed,104429,1414,1060.51,85.35,5081.47,4.79,1.35,0.75,6.04,59.54,3,10
pg-buda,Buffalograss Pasture Seed,pasture seed,buffalograss,222468,2280,720.31,51.85,5077.36,7.05,1.02,0.32,2.27,97.92,8,19
