,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Utilities & Supplies,"$3,006","$2,207","$1,088","$3,008","$2,809","$1,154","$1,477",$397,$506,$612,$270,$406,"$16,940"
Corporate Allocation,"$10,503","$10,503","$10,503","$10,503","$10,503","$10,503","$10,503","$10,503","$10,503","$10,503","$10,503","$10,503","$126,042"
Other,"$3,136","$8,947","$13,194","$14,359","$6,927","$5,208","$1,872","$3,925","$7,622","$9,193","$6,089","$3,660","$84,133"
WIP,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
Total General & Admin,"$41,634","$44,967","$46,711","$50,624","$42,283","$41,371","$39,485","$40,775","$49,528","$44,845","$41,418","$57,719","$541,360"
,,,,,,,,,,,,,
Total Operating Costs,"$110,049","$122,817","$149,091","$127,487","$117,957","$108,678","$85,204","$89,200","$103,102","$99,592","$76,209","$87,654","$1,277,039"
OPEX %,82.30%,47.50%,34.40%,31.90%,54.60%,54.60%,162.90%,66.50%,48.90%,57.20%,102.70%,341.90%,55.30%
,,,,,,,,,,,,,
Management Fee,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
Other Income & Expense,"$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$64,522"
,,,,,,,,,,,,,
Net Income,"-$48,839","$14,073","$167,089","$94,476","-$18,512","-$13,120","-$63,989","-$40,645","-$4,541","-$34,982","-$48,023","-$84,924","-$81,937"
,,,,,,,,,,,,,
Interest,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
Tax,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
Depreciation,"$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$64,522"
Amortization,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
,,,,,,,,,,,,,
EBITDA,"-$43,462","$19,450","$172,466","$99,853","-$13,135","-$7,743","-$58,612","-$35,269",$836,"-$29,605","-$42,646","-$79,548","-$17,415"
EBITDA %,-32.50%,7.50%,39.80%,25.00%,-6.10%,-3.90%,-112.00%,-26.30%,0.40%,-17.00%,-57.50%,-310.30%,-0.80%
,,,,,,,,,,,,,
Lender Adj. Addbacks,,,,,,,,,,,,,$0
,,,,,,,,,,,,,
Adjusted EBITDA,"-$43,462","$19,450","$172,466","$99,853","-$13,135","-$7,743","-$58,612","-$35,269",$836,"-$29,605","-$42,646","-$79,548","-$17,415"
Lender Adj. EBITDA %,-32.50%,7.50%,39.80%,25.00%,-6.10%,-3.90%,-112.00%,-26.30%,0.40%,-17.00%,-57.50%,-310.30%,-0.80%
